会社名称,路線名称,どこからどこまで,行き方面,帰り方面,バス停名称,url,緯度,経度,同じバス停
神奈川中央交通,厚３３,厚木バスセンター～七沢,七沢方面,厚木バスセンター方面,南毛利小学校前,https://mb.jorudan.co.jp//os/bus/1403/stop/61536.html,35.43632472,139.3387219,
神奈川中央交通,厚３３,厚木バスセンター～七沢,七沢方面,厚木バスセンター方面,厚木バスセンター,https://mb.jorudan.co.jp//os/bus/1403/stop/60495.html,35.441585,139.3666267,
神奈川中央交通,厚３８,厚木バスセンター～広沢寺温泉,広沢寺温泉方面,厚木バスセンター方面,広沢寺温泉,https://mb.jorudan.co.jp//os/bus/1403/stop/58852.html,35.45327417,139.2841656,
神奈川中央交通,厚３８,厚木バスセンター～広沢寺温泉,広沢寺温泉方面,厚木バスセンター方面,河鹿の沢,https://mb.jorudan.co.jp//os/bus/1403/stop/60211.html,35.45291778,139.2885228,
神奈川中央交通,厚３８,厚木バスセンター～広沢寺温泉,広沢寺温泉方面,厚木バスセンター方面,鐘ヶ獄,https://mb.jorudan.co.jp//os/bus/1403/stop/59832.html,35.45329278,139.2914208,
神奈川中央交通,厚３８,厚木バスセンター～広沢寺温泉,広沢寺温泉方面,厚木バスセンター方面,七沢病院前,https://mb.jorudan.co.jp//os/bus/1403/stop/58392.html,35.44793944,139.2943989,
神奈川中央交通,厚３８,厚木バスセンター～広沢寺温泉,広沢寺温泉方面,厚木バスセンター方面,七沢城跡,https://mb.jorudan.co.jp//os/bus/1403/stop/60557.html,35.44934778,139.2921422,
神奈川中央交通,厚３８,厚木バスセンター～広沢寺温泉,広沢寺温泉方面,厚木バスセンター方面,高旗観音,https://mb.jorudan.co.jp//os/bus/1403/stop/60285.html,35.44800972,139.2886156,
神奈川中央交通,厚３８,厚木バスセンター～広沢寺温泉,広沢寺温泉方面,厚木バスセンター方面,七沢温泉,https://mb.jorudan.co.jp//os/bus/1403/stop/58744.html,35.44792778,139.2877103,
神奈川中央交通,厚４３,森の里～厚木バスセンター,厚木バスセンター方面,森の里方面,中町四丁目,https://mb.jorudan.co.jp//os/bus/1403/stop/61597.html,35.43806278,139.3616589,
神奈川中央交通,厚４３,森の里～厚木バスセンター,厚木バスセンター方面,森の里方面,農大入口,https://mb.jorudan.co.jp//os/bus/1403/stop/229718.html,35.43068083,139.3524781,
神奈川中央交通,厚４３,森の里～厚木バスセンター,厚木バスセンター方面,森の里方面,船子,https://mb.jorudan.co.jp//os/bus/1403/stop/58746.html,35.42606639,139.3493594,
神奈川中央交通,厚４３,森の里～厚木バスセンター,厚木バスセンター方面,森の里方面,仲田,https://mb.jorudan.co.jp//os/bus/1403/stop/60647.html,35.42668694,139.3472978,
神奈川中央交通,厚４３,森の里～厚木バスセンター,厚木バスセンター方面,森の里方面,依胡田,https://mb.jorudan.co.jp//os/bus/1403/stop/58168.html,35.42793222,139.3418431,
神奈川中央交通,厚４３,森の里～厚木バスセンター,厚木バスセンター方面,森の里方面,柳町［厚木市］,https://mb.jorudan.co.jp//os/bus/1403/stop/229777.html,35.42875056,139.3377869,
神奈川中央交通,厚４３,森の里～厚木バスセンター,厚木バスセンター方面,森の里方面,仲町［厚木市長谷］,https://mb.jorudan.co.jp//os/bus/1403/stop/229865.html,35.42951833,139.3345111,
神奈川中央交通,厚４３,森の里～厚木バスセンター,厚木バスセンター方面,森の里方面,籠堰橋,https://mb.jorudan.co.jp//os/bus/1403/stop/60298.html,35.43165389,139.32792,
神奈川中央交通,厚４３,森の里～厚木バスセンター,厚木バスセンター方面,森の里方面,広町橋,https://mb.jorudan.co.jp//os/bus/1403/stop/58136.html,35.43309278,139.323315,
神奈川中央交通,厚４３,森の里～厚木バスセンター,厚木バスセンター方面,森の里方面,榎田,https://mb.jorudan.co.jp//os/bus/1403/stop/58479.html,35.43698778,139.3132058,
神奈川中央交通,厚４３,森の里～厚木バスセンター,厚木バスセンター方面,森の里方面,若宮橋,https://mb.jorudan.co.jp//os/bus/1403/stop/60439.html,35.44069389,139.311895,
神奈川中央交通,厚４３,森の里～厚木バスセンター,厚木バスセンター方面,森の里方面,森の里一丁目,https://mb.jorudan.co.jp//os/bus/1403/stop/61779.html,35.44094778,139.3075208,
神奈川中央交通,厚４３,森の里～厚木バスセンター,厚木バスセンター方面,森の里方面,森の里二丁目,https://mb.jorudan.co.jp//os/bus/1403/stop/60769.html,35.44203111,139.3059403,
神奈川中央交通,厚４３,森の里～厚木バスセンター,厚木バスセンター方面,森の里方面,森の里小学校前,https://mb.jorudan.co.jp//os/bus/1403/stop/61855.html,35.44518278,139.3052547,
神奈川中央交通,厚４３,森の里～厚木バスセンター,厚木バスセンター方面,森の里方面,森の里三丁目,https://mb.jorudan.co.jp//os/bus/1403/stop/60613.html,35.44642778,139.3049278,
神奈川中央交通,厚４３,森の里～厚木バスセンター,厚木バスセンター方面,森の里方面,森の里中学校前,https://mb.jorudan.co.jp//os/bus/1403/stop/60359.html,35.44897278,139.3038789,
神奈川中央交通,厚４３,森の里～厚木バスセンター,厚木バスセンター方面,森の里方面,北センター,https://mb.jorudan.co.jp//os/bus/1403/stop/229904.html,35.45267889,139.304335,
神奈川中央交通,厚４３,森の里～厚木バスセンター,厚木バスセンター方面,森の里方面,森の里五丁目,https://mb.jorudan.co.jp//os/bus/1403/stop/58352.html,35.45363194,139.3044919,
神奈川中央交通,厚４３,森の里～厚木バスセンター,厚木バスセンター方面,森の里方面,森の里,https://mb.jorudan.co.jp//os/bus/1403/stop/61100.html,35.45569583,139.3041808,
神奈川中央交通,厚４３,森の里～厚木バスセンター,森の里方面,厚木バスセンター方面,中町四丁目,https://mb.jorudan.co.jp//os/bus/1403/stop/60159.html,35.44054944,139.3637819,
神奈川中央交通,厚４３,森の里～厚木バスセンター,森の里方面,厚木バスセンター方面,厚木市文化会館前,https://mb.jorudan.co.jp//os/bus/1403/stop/61597.html,35.43806278,139.3616589,
神奈川中央交通,厚４３,森の里～厚木バスセンター,森の里方面,厚木バスセンター方面,恩名下,https://mb.jorudan.co.jp//os/bus/1403/stop/58192.html,35.43548778,139.3546819,
神奈川中央交通,厚４３,森の里～厚木バスセンター,森の里方面,厚木バスセンター方面,赤羽根入口,https://mb.jorudan.co.jp//os/bus/1403/stop/59750.html,35.43569,139.3528708,
神奈川中央交通,厚４３,森の里～厚木バスセンター,森の里方面,厚木バスセンター方面,農大入口,https://mb.jorudan.co.jp//os/bus/1403/stop/61551.html,35.43357444,139.3516769,
神奈川中央交通,厚４３,森の里～厚木バスセンター,森の里方面,厚木バスセンター方面,船子,https://mb.jorudan.co.jp//os/bus/1403/stop/229718.html,35.43068083,139.3524781,
神奈川中央交通,厚４３,森の里～厚木バスセンター,森の里方面,厚木バスセンター方面,仲田,https://mb.jorudan.co.jp//os/bus/1403/stop/58746.html,35.42606639,139.3493594,
神奈川中央交通,厚４３,森の里～厚木バスセンター,森の里方面,厚木バスセンター方面,依胡田,https://mb.jorudan.co.jp//os/bus/1403/stop/60647.html,35.42668694,139.3472978,
神奈川中央交通,厚４３,森の里～厚木バスセンター,森の里方面,厚木バスセンター方面,柳町［厚木市］,https://mb.jorudan.co.jp//os/bus/1403/stop/58168.html,35.42793222,139.3418431,
神奈川中央交通,厚４３,森の里～厚木バスセンター,森の里方面,厚木バスセンター方面,仲町［厚木市長谷］,https://mb.jorudan.co.jp//os/bus/1403/stop/229777.html,35.42875056,139.3377869,
神奈川中央交通,厚４３,森の里～厚木バスセンター,森の里方面,厚木バスセンター方面,籠堰橋,https://mb.jorudan.co.jp//os/bus/1403/stop/229865.html,35.42951833,139.3345111,
神奈川中央交通,厚４３,森の里～厚木バスセンター,森の里方面,厚木バスセンター方面,広町橋,https://mb.jorudan.co.jp//os/bus/1403/stop/60298.html,35.43165389,139.32792,
神奈川中央交通,厚４３,森の里～厚木バスセンター,森の里方面,厚木バスセンター方面,小野宮前,https://mb.jorudan.co.jp//os/bus/1403/stop/58136.html,35.43309278,139.323315,
神奈川中央交通,厚４３,森の里～厚木バスセンター,森の里方面,厚木バスセンター方面,小野橋,https://mb.jorudan.co.jp//os/bus/1403/stop/61649.html,35.43399889,139.3192458,
神奈川中央交通,厚４３,森の里～厚木バスセンター,森の里方面,厚木バスセンター方面,榎田,https://mb.jorudan.co.jp//os/bus/1403/stop/60051.html,35.43438778,139.3154939,
神奈川中央交通,厚４３,森の里～厚木バスセンター,森の里方面,厚木バスセンター方面,若宮橋,https://mb.jorudan.co.jp//os/bus/1403/stop/58479.html,35.43698778,139.3132058,
神奈川中央交通,厚４３,森の里～厚木バスセンター,森の里方面,厚木バスセンター方面,森の里一丁目,https://mb.jorudan.co.jp//os/bus/1403/stop/60439.html,35.44069389,139.311895,
神奈川中央交通,厚４３,森の里～厚木バスセンター,森の里方面,厚木バスセンター方面,森の里二丁目,https://mb.jorudan.co.jp//os/bus/1403/stop/61779.html,35.44094778,139.3075208,
神奈川中央交通,厚４３,森の里～厚木バスセンター,森の里方面,厚木バスセンター方面,森の里小学校前,https://mb.jorudan.co.jp//os/bus/1403/stop/60769.html,35.44203111,139.3059403,
神奈川中央交通,厚４３,森の里～厚木バスセンター,森の里方面,厚木バスセンター方面,森の里三丁目,https://mb.jorudan.co.jp//os/bus/1403/stop/61855.html,35.44518278,139.3052547,
神奈川中央交通,厚４３,森の里～厚木バスセンター,森の里方面,厚木バスセンター方面,森の里中学校前,https://mb.jorudan.co.jp//os/bus/1403/stop/60613.html,35.44642778,139.3049278,
神奈川中央交通,厚４３,森の里～厚木バスセンター,森の里方面,厚木バスセンター方面,北センター,https://mb.jorudan.co.jp//os/bus/1403/stop/60359.html,35.44897278,139.3038789,
神奈川中央交通,厚４３,森の里～厚木バスセンター,森の里方面,厚木バスセンター方面,森の里五丁目,https://mb.jorudan.co.jp//os/bus/1403/stop/229904.html,35.45267889,139.304335,
神奈川中央交通,厚４３,森の里～厚木バスセンター,森の里方面,厚木バスセンター方面,森の里,https://mb.jorudan.co.jp//os/bus/1403/stop/58352.html,35.45363194,139.3044919,
神奈川中央交通,厚４４,森の里～厚木バスセンター,厚木バスセンター方面,森の里方面,温水児童館前,https://mb.jorudan.co.jp//os/bus/1403/stop/60755.html,35.43951139,139.3464656,
神奈川中央交通,厚４４,森の里～厚木バスセンター,厚木バスセンター方面,森の里方面,やまゆり園前［厚木市］,https://mb.jorudan.co.jp//os/bus/1403/stop/229949.html,35.43971694,139.3241819,
神奈川中央交通,厚４４,森の里～厚木バスセンター,厚木バスセンター方面,森の里方面,宮地,https://mb.jorudan.co.jp//os/bus/1403/stop/61106.html,35.44427278,139.3262156,
神奈川中央交通,厚４４,森の里～厚木バスセンター,厚木バスセンター方面,森の里方面,高松山入口,https://mb.jorudan.co.jp//os/bus/1403/stop/58553.html,35.44430583,139.3256303,
神奈川中央交通,厚４４,森の里～厚木バスセンター,厚木バスセンター方面,森の里方面,森の里青山,https://mb.jorudan.co.jp//os/bus/1403/stop/61028.html,35.44674778,139.3138328,
神奈川中央交通,厚４４,森の里～厚木バスセンター,厚木バスセンター方面,森の里方面,日産先進技術開発センター前,https://mb.jorudan.co.jp//os/bus/1403/stop/58329.html,35.44411389,139.3164108,
神奈川中央交通,厚４４,森の里～厚木バスセンター,厚木バスセンター方面,森の里方面,通信研究所前,https://mb.jorudan.co.jp//os/bus/1403/stop/229912.html,35.44181083,139.3160828,
神奈川中央交通,厚４４,森の里～厚木バスセンター,厚木バスセンター方面,森の里方面,森の里センター,https://mb.jorudan.co.jp//os/bus/1403/stop/60601.html,35.44498417,139.3110325,
神奈川中央交通,厚４４,森の里～厚木バスセンター,厚木バスセンター方面,森の里方面,厚木西高校,https://mb.jorudan.co.jp//os/bus/1403/stop/58368.html,35.44787333,139.3111269,
神奈川中央交通,厚４４,森の里～厚木バスセンター,厚木バスセンター方面,森の里方面,森の里四丁目,https://mb.jorudan.co.jp//os/bus/1403/stop/58536.html,35.45076444,139.3080067,
神奈川中央交通,厚４４,森の里～厚木バスセンター,森の里方面,厚木バスセンター方面,栄町二丁目,https://mb.jorudan.co.jp//os/bus/1403/stop/61597.html,35.43806278,139.3616589,
神奈川中央交通,厚４４,森の里～厚木バスセンター,森の里方面,厚木バスセンター方面,恩名公民館前,https://mb.jorudan.co.jp//os/bus/1403/stop/58192.html,35.43548778,139.3546819,
神奈川中央交通,厚４４,森の里～厚木バスセンター,森の里方面,厚木バスセンター方面,赤羽根中央,https://mb.jorudan.co.jp//os/bus/1403/stop/61551.html,35.43357444,139.3516769,
神奈川中央交通,厚４４,森の里～厚木バスセンター,森の里方面,厚木バスセンター方面,温水児童館前,https://mb.jorudan.co.jp//os/bus/1403/stop/61018.html,35.43563694,139.3494769,
神奈川中央交通,厚４４,森の里～厚木バスセンター,森の里方面,厚木バスセンター方面,温水,https://mb.jorudan.co.jp//os/bus/1403/stop/60755.html,35.43951139,139.3464656,
神奈川中央交通,厚４４,森の里～厚木バスセンター,森の里方面,厚木バスセンター方面,高坪入口,https://mb.jorudan.co.jp//os/bus/1403/stop/60687.html,35.44006278,139.343695,
神奈川中央交通,厚４４,森の里～厚木バスセンター,森の里方面,厚木バスセンター方面,南毛利小学校前,https://mb.jorudan.co.jp//os/bus/1403/stop/59433.html,35.4386775,139.3424833,
神奈川中央交通,厚４４,森の里～厚木バスセンター,森の里方面,厚木バスセンター方面,清水［厚木市］,https://mb.jorudan.co.jp//os/bus/1403/stop/61536.html,35.43632472,139.3387219,
神奈川中央交通,厚４４,森の里～厚木バスセンター,森の里方面,厚木バスセンター方面,観音坂,https://mb.jorudan.co.jp//os/bus/1403/stop/230045.html,35.43373333,139.3367619,
神奈川中央交通,厚４４,森の里～厚木バスセンター,森の里方面,厚木バスセンター方面,上長谷,https://mb.jorudan.co.jp//os/bus/1403/stop/59265.html,35.43361833,139.3333342,
神奈川中央交通,厚４４,森の里～厚木バスセンター,森の里方面,厚木バスセンター方面,愛名入口,https://mb.jorudan.co.jp//os/bus/1403/stop/61399.html,35.43302583,139.3279769,
神奈川中央交通,厚４４,森の里～厚木バスセンター,森の里方面,厚木バスセンター方面,やまゆり園前［厚木市］,https://mb.jorudan.co.jp//os/bus/1403/stop/58756.html,35.43510778,139.3246539,
神奈川中央交通,厚４４,森の里～厚木バスセンター,森の里方面,厚木バスセンター方面,宮地,https://mb.jorudan.co.jp//os/bus/1403/stop/229949.html,35.43971694,139.3241819,
神奈川中央交通,厚４４,森の里～厚木バスセンター,森の里方面,厚木バスセンター方面,高松山入口,https://mb.jorudan.co.jp//os/bus/1403/stop/61106.html,35.44427278,139.3262156,
神奈川中央交通,厚４４,森の里～厚木バスセンター,森の里方面,厚木バスセンター方面,森の里青山,https://mb.jorudan.co.jp//os/bus/1403/stop/58553.html,35.44430583,139.3256303,
神奈川中央交通,厚４４,森の里～厚木バスセンター,森の里方面,厚木バスセンター方面,日産先進技術開発センター前,https://mb.jorudan.co.jp//os/bus/1403/stop/61028.html,35.44674778,139.3138328,
神奈川中央交通,厚４４,森の里～厚木バスセンター,森の里方面,厚木バスセンター方面,通信研究所前,https://mb.jorudan.co.jp//os/bus/1403/stop/58329.html,35.44411389,139.3164108,
神奈川中央交通,厚４４,森の里～厚木バスセンター,森の里方面,厚木バスセンター方面,森の里センター,https://mb.jorudan.co.jp//os/bus/1403/stop/229912.html,35.44181083,139.3160828,
神奈川中央交通,厚４４,森の里～厚木バスセンター,森の里方面,厚木バスセンター方面,厚木西高校,https://mb.jorudan.co.jp//os/bus/1403/stop/60601.html,35.44498417,139.3110325,
神奈川中央交通,厚４４,森の里～厚木バスセンター,森の里方面,厚木バスセンター方面,森の里四丁目,https://mb.jorudan.co.jp//os/bus/1403/stop/58368.html,35.44787333,139.3111269,
神奈川中央交通,厚４４,森の里～厚木バスセンター,森の里方面,厚木バスセンター方面,森の里五丁目,https://mb.jorudan.co.jp//os/bus/1403/stop/58536.html,35.45076444,139.3080067,
神奈川中央交通,厚４４,森の里～厚木バスセンター,森の里方面,厚木バスセンター方面,栄町二丁目,https://mb.jorudan.co.jp//os/bus/1403/stop/60159.html,35.44054944,139.3637819,
神奈川中央交通,厚４４,森の里～厚木バスセンター,森の里方面,厚木バスセンター方面,恩名公民館前,https://mb.jorudan.co.jp//os/bus/1403/stop/61597.html,35.43806278,139.3616589,
神奈川中央交通,厚４４,森の里～厚木バスセンター,森の里方面,厚木バスセンター方面,赤羽根入口,https://mb.jorudan.co.jp//os/bus/1403/stop/58192.html,35.43548778,139.3546819,
神奈川中央交通,厚４４,森の里～厚木バスセンター,森の里方面,厚木バスセンター方面,赤羽根中央,https://mb.jorudan.co.jp//os/bus/1403/stop/59750.html,35.43569,139.3528708,
神奈川中央交通,厚４４,森の里～厚木バスセンター,森の里方面,厚木バスセンター方面,温水児童館前,https://mb.jorudan.co.jp//os/bus/1403/stop/61551.html,35.43357444,139.3516769,
神奈川中央交通,厚４４,森の里～厚木バスセンター,森の里方面,厚木バスセンター方面,温水,https://mb.jorudan.co.jp//os/bus/1403/stop/61018.html,35.43563694,139.3494769,
神奈川中央交通,厚４４,森の里～厚木バスセンター,森の里方面,厚木バスセンター方面,高坪入口,https://mb.jorudan.co.jp//os/bus/1403/stop/60755.html,35.43951139,139.3464656,
神奈川中央交通,厚４４,森の里～厚木バスセンター,森の里方面,厚木バスセンター方面,南毛利小学校前,https://mb.jorudan.co.jp//os/bus/1403/stop/60687.html,35.44006278,139.343695,
神奈川中央交通,厚４４,森の里～厚木バスセンター,森の里方面,厚木バスセンター方面,清水［厚木市］,https://mb.jorudan.co.jp//os/bus/1403/stop/59433.html,35.4386775,139.3424833,
