会社名称,路線名称,どこからどこまで,行き方面,帰り方面,バス停名称,url,緯度,経度,同じバス停
東武バスセントラル,北０１,西新井大師～北千住駅,北千住駅方面,西新井大師方面,千住二丁目,https://mb.jorudan.co.jp//os/bus/1311/stop/50572.html,35.75094806,139.7993897,
東武バスセントラル,北０１,西新井大師～北千住駅,北千住駅方面,西新井大師方面,北千住駅,https://mb.jorudan.co.jp//os/bus/1311/stop/51033.html,35.74993944,139.8046981,
東武バスセントラル,北０２,西新井大師～北千住駅,北千住駅方面,西新井大師方面,西新井駅入口,https://mb.jorudan.co.jp//os/bus/1311/stop/50848.html,35.77634278,139.7846539,
東武バスセントラル,北０２,西新井大師～北千住駅,北千住駅方面,西新井大師方面,関原三丁目,https://mb.jorudan.co.jp//os/bus/1311/stop/51096.html,35.772685,139.784725,
東武バスセントラル,北０２,西新井大師～北千住駅,北千住駅方面,西新井大師方面,本木二丁目,https://mb.jorudan.co.jp//os/bus/1311/stop/51012.html,35.76839083,139.7860058,
東武バスセントラル,北０２,西新井大師～北千住駅,北千住駅方面,西新井大師方面,関原二丁目,https://mb.jorudan.co.jp//os/bus/1311/stop/51004.html,35.76641917,139.7862792,
東武バスセントラル,北０２,西新井大師～北千住駅,北千住駅方面,西新井大師方面,西新井橋,https://mb.jorudan.co.jp//os/bus/1311/stop/50397.html,35.76297694,139.7874178,
東武バスセントラル,北０３,北千住駅～西新井大師,西新井大師方面,北千住駅方面,西新井駅西口,https://mb.jorudan.co.jp//os/bus/1311/stop/50601.html,35.77632417,139.7902783,
東武バスセントラル,北０３,北千住駅～西新井大師,北千住駅方面,西新井大師方面,西新井陸橋,https://mb.jorudan.co.jp//os/bus/1311/stop/50848.html,35.77634278,139.7846539,
東武バスセントラル,北０３,北千住駅～西新井大師,北千住駅方面,西新井大師方面,栗原町,https://mb.jorudan.co.jp//os/bus/1311/stop/50445.html,35.77842056,139.7812556,
東武バスセントラル,北０３,北千住駅～西新井大師,北千住駅方面,西新井大師方面,西新井大師,https://mb.jorudan.co.jp//os/bus/1311/stop/51033.html,35.74993944,139.8046981,
東武バスセントラル,北０４,北千住駅～西新井駅西口,西新井駅西口方面,北千住駅方面,西新井駅西口,https://mb.jorudan.co.jp//os/bus/1311/stop/50601.html,35.77658528,139.7904283,
東武バスセントラル,北０５,北千住駅～東京女子医大足立医療センター,東京女子医大足立医療センター方面,北千住駅方面,いずみ記念病院入口,https://mb.jorudan.co.jp//os/bus/1311/stop/50412.html,35.76021722,139.7834231,
東武バスセントラル,北０５,北千住駅～東京女子医大足立医療センター,東京女子医大足立医療センター方面,北千住駅方面,本木南町,https://mb.jorudan.co.jp//os/bus/1311/stop/50662.html,35.75992861,139.7811428,
東武バスセントラル,北０５,北千住駅～東京女子医大足立医療センター,東京女子医大足立医療センター方面,北千住駅方面,足立六中入口,https://mb.jorudan.co.jp//os/bus/1311/stop/50919.html,35.75939472,139.7778828,
東武バスセントラル,北０５,北千住駅～東京女子医大足立医療センター,東京女子医大足立医療センター方面,北千住駅方面,扇大橋下,https://mb.jorudan.co.jp//os/bus/1311/stop/50684.html,35.76117333,139.7710642,
東武バスセントラル,北０５,北千住駅～東京女子医大足立医療センター,東京女子医大足立医療センター方面,北千住駅方面,扇大橋駅前,https://mb.jorudan.co.jp//os/bus/1311/stop/50745.html,35.76373639,139.7706781,
東武バスセントラル,北０５,北千住駅～東京女子医大足立医療センター,東京女子医大足立医療センター方面,北千住駅方面,扇二丁目,https://mb.jorudan.co.jp//os/bus/1311/stop/50432.html,35.76660944,139.7709339,
東武バスセントラル,北０５,北千住駅～東京女子医大足立医療センター,東京女子医大足立医療センター方面,北千住駅方面,扇三丁目,https://mb.jorudan.co.jp//os/bus/1311/stop/50592.html,35.769615,139.7704875,
東武バスセントラル,北０５,北千住駅～東京女子医大足立医療センター,東京女子医大足立医療センター方面,北千住駅方面,江北四丁目,https://mb.jorudan.co.jp//os/bus/1311/stop/50387.html,35.77237389,139.7705617,
東武バスセントラル,北０５,北千住駅～東京女子医大足立医療センター,東京女子医大足立医療センター方面,北千住駅方面,江北駅,https://mb.jorudan.co.jp//os/bus/1311/stop/51007.html,35.77432111,139.7707397,
東武バスセントラル,北０５,北千住駅～東京女子医大足立医療センター,東京女子医大足立医療センター方面,北千住駅方面,江北陸橋下,https://mb.jorudan.co.jp//os/bus/1311/stop/50797.html,35.77810694,139.7692667,
東武バスセントラル,北０５,北千住駅～東京女子医大足立医療センター,東京女子医大足立医療センター方面,北千住駅方面,江北小学校前,https://mb.jorudan.co.jp//os/bus/1311/stop/314287.html,35.77562333,139.7653131,
東武バスセントラル,北０５,北千住駅～東京女子医大足立医療センター,東京女子医大足立医療センター方面,北千住駅方面,東京女子医大足立医療センター,https://mb.jorudan.co.jp//os/bus/1311/stop/314285.html,35.77300667,139.7659542,
東武バスセントラル,北０５,北千住駅～東京女子医大足立医療センター,北千住駅方面,東京女子医大足立医療センター方面,首都高扇大橋入口,https://mb.jorudan.co.jp//os/bus/1311/stop/50684.html,35.76117333,139.7710642,
東武バスセントラル,北０５,北千住駅～東京女子医大足立医療センター,北千住駅方面,東京女子医大足立医療センター方面,扇大橋下,https://mb.jorudan.co.jp//os/bus/1311/stop/50745.html,35.76373639,139.7706781,
東武バスセントラル,北０５,北千住駅～東京女子医大足立医療センター,北千住駅方面,東京女子医大足立医療センター方面,扇大橋駅前,https://mb.jorudan.co.jp//os/bus/1311/stop/50432.html,35.76660944,139.7709339,
東武バスセントラル,北０５,北千住駅～東京女子医大足立医療センター,北千住駅方面,東京女子医大足立医療センター方面,扇二丁目,https://mb.jorudan.co.jp//os/bus/1311/stop/50592.html,35.769615,139.7704875,
東武バスセントラル,北０５,北千住駅～東京女子医大足立医療センター,北千住駅方面,東京女子医大足立医療センター方面,扇三丁目,https://mb.jorudan.co.jp//os/bus/1311/stop/50387.html,35.77237389,139.7705617,
東武バスセントラル,北０５,北千住駅～東京女子医大足立医療センター,北千住駅方面,東京女子医大足立医療センター方面,江北四丁目,https://mb.jorudan.co.jp//os/bus/1311/stop/51007.html,35.77432111,139.7707397,
東武バスセントラル,北０５,北千住駅～東京女子医大足立医療センター,北千住駅方面,東京女子医大足立医療センター方面,江北駅,https://mb.jorudan.co.jp//os/bus/1311/stop/50797.html,35.77810694,139.7692667,
東武バスセントラル,北０５,北千住駅～東京女子医大足立医療センター,北千住駅方面,東京女子医大足立医療センター方面,江北陸橋下,https://mb.jorudan.co.jp//os/bus/1311/stop/314287.html,35.77562333,139.7653131,
東武バスセントラル,北０５,北千住駅～東京女子医大足立医療センター,北千住駅方面,東京女子医大足立医療センター方面,江北小学校前,https://mb.jorudan.co.jp//os/bus/1311/stop/314285.html,35.77300667,139.7659542,
東武バスセントラル,北０５,北千住駅～東京女子医大足立医療センター,北千住駅方面,東京女子医大足立医療センター方面,東京女子医大足立医療センター,https://mb.jorudan.co.jp//os/bus/1311/stop/51033.html,35.74993944,139.8046981,
