路線ID,バス会社ID,路線名称
339,432.0,ＲＨ０１
340,575.0,トランセ
341,575.0,中町五丁目～田園調布駅
342,575.0,二子玉川駅～瀬田営業所
343,575.0,井０１
344,575.0,井０３
345,575.0,井０３
346,575.0,井０５
347,575.0,井０９
348,575.0,井０９：大井町駅東口～池上営
349,575.0,反０１
350,575.0,反０２
351,575.0,反１１
352,575.0,反１１
353,575.0,反１１
354,575.0,反１１
355,575.0,反１２
356,575.0,向０２
357,575.0,品９４
358,575.0,品９４
359,575.0,園０１
360,575.0,多摩０１
361,575.0,多摩０１
362,575.0,弦巻営業所～用賀駅
363,575.0,恵３２
364,575.0,東９８
365,575.0,東９８
366,575.0,森０１
367,575.0,森０１
368,575.0,森０２
369,575.0,森０２
370,575.0,森０２
371,575.0,森０５
372,575.0,森０６
373,575.0,森０６
374,575.0,森０７
375,575.0,森０７
376,575.0,森０８
377,575.0,森９１
378,575.0,森９１
379,575.0,渋０５
380,575.0,渋０５
381,575.0,渋１１
382,575.0,渋１１
383,575.0,渋１１：渋谷駅～都立大学駅
384,575.0,渋１２
385,575.0,渋１２
386,575.0,渋２１
387,575.0,渋２１
388,575.0,渋２１：渋谷駅～桜小学校
389,575.0,渋２２
390,575.0,渋２３
391,575.0,渋２４
392,575.0,渋２４
393,575.0,渋３１
394,575.0,渋３２
395,575.0,渋４１：清水～大井町駅
396,575.0,渋４１：清水～大井町駅
397,575.0,渋４１：渋谷駅～大井町駅
398,575.0,渋４１：渋谷駅～新馬場駅前
399,575.0,渋４２：清水～大崎駅西口
400,575.0,渋４３：清水～高輪ＧＷ駅
401,575.0,渋５１
402,575.0,渋５２
403,575.0,渋５５
404,575.0,渋５５
405,575.0,渋７１
406,575.0,渋７１
407,575.0,渋７１
408,575.0,渋７２
409,575.0,渋８２
410,575.0,渋８２
411,575.0,渋８２：瀬田営業所発着
412,575.0,渋８２：瀬田営業所発着
413,575.0,渋８２：瀬田営業所発着
414,575.0,玉０４
415,575.0,玉０５
416,575.0,玉０６
417,575.0,玉０６
418,575.0,玉０６
419,575.0,玉０７
420,575.0,玉０７
421,575.0,玉１１
422,575.0,玉１１
423,575.0,玉１１
424,575.0,玉１２
425,575.0,玉２１
426,575.0,玉２１
427,575.0,玉３０
428,575.0,玉３１
429,575.0,玉３１
430,575.0,玉３１
431,575.0,玉３１
432,575.0,玉３２
433,575.0,用賀駅～成城学園前駅
434,575.0,用０１
435,575.0,用０６
436,575.0,用２１
437,575.0,用２２
438,575.0,等０１
439,575.0,等１１
440,575.0,等１２
441,575.0,等１２
442,575.0,等１２：瀬田営業所発着
443,575.0,等１２：瀬田営業所発着
444,575.0,等１２：瀬田営業所発着
445,575.0,等１３
446,575.0,等１３
447,575.0,等２１
448,575.0,自０１
449,575.0,自０１
450,575.0,自０１
451,575.0,自０２
452,575.0,自０２
453,575.0,自１１
454,575.0,自１２
455,575.0,蒲０１
456,575.0,蒲０１
457,575.0,蒲０１：六郷土手～池上営業所
458,575.0,蒲０１：六郷土手～池上営業所
459,575.0,蒲１２
460,575.0,蒲１２
461,575.0,都立０１
462,575.0,都立０１
463,575.0,都立３４
464,575.0,都立３４
465,575.0,都立３５
466,575.0,黒０１
467,575.0,黒０１
468,575.0,黒０２
469,575.0,黒０６
470,575.0,黒０６
471,575.0,黒０７
472,575.0,黒０９
473,575.0,黒０９
474,424.0,下６１
475,424.0,世田谷営業所～梅ヶ丘駅
476,424.0,吉０２
477,424.0,吉０２
478,424.0,喜０１
479,424.0,宿４４
480,424.0,成城学園前駅南口～狛江営業所
481,424.0,成城学園前駅西口～仙川駅入口
482,424.0,成城学園前駅西口～狛江営業所
483,424.0,成城学園前駅西口～狛江営業所
484,424.0,成城学園前駅西口～狛江駅北口
485,424.0,成城学園前駅～前原～狛江営業所
486,424.0,成０１
487,424.0,成０１
488,424.0,成０２
489,424.0,成０４
490,424.0,成０６
491,424.0,成０６
492,424.0,新宿駅西口～世田谷営業所
493,424.0,梅０１
494,424.0,梅０１
495,424.0,梅０２
496,424.0,歳２０
497,424.0,歳２１
498,424.0,歳２２
499,424.0,歳２５
391,424.0,渋２４
500,424.0,渋２４
501,424.0,渋２６
502,424.0,渋２６
503,424.0,渋５４
504,424.0,狛江営業所～千歳烏山駅南口
505,424.0,狛江営業所～成城学園前駅西口
506,424.0,狛１１
507,424.0,狛１２
419,424.0,玉０７
508,424.0,玉０７
509,424.0,玉０８
510,424.0,玉０８
511,424.0,祖師谷・成城地域循環
512,424.0,経０１
513,424.0,経０２
514,424.0,経０２
515,431.0,中０１
516,431.0,中０１
517,431.0,中０１－１
518,431.0,中０１－１
519,431.0,中０１－２
520,431.0,中０１－２
521,431.0,中０１－３
522,431.0,中０１－３
523,431.0,中０３
524,431.0,中０３
525,431.0,中１０
526,431.0,中１０
527,431.0,中１２
528,431.0,中１２－１
529,431.0,中１２－１
530,431.0,中１２－２
531,431.0,中２０
532,431.0,中２４
533,431.0,中２４－１
534,431.0,中２４－２
535,431.0,中２７
536,431.0,中２７－２
537,431.0,中３０
538,431.0,中３５
539,431.0,中３５
540,431.0,中３６
541,431.0,中３６
542,431.0,中４１
543,431.0,中４１
544,431.0,中４３－１
545,431.0,丸山営業所～練馬駅
546,431.0,丸山営業所～練馬駅
547,431.0,吉５５
548,431.0,吉８０
549,431.0,吉８０
550,431.0,吉８１
551,431.0,吉８１
552,431.0,宿０１
553,431.0,宿０１
554,431.0,宿０２
555,431.0,宿０２
556,431.0,宿０４
557,431.0,宿０５
558,431.0,宿０５
559,431.0,宿０８
560,431.0,宿０８
561,431.0,新０２
562,431.0,新０２
563,431.0,池１１
564,431.0,池１１
565,431.0,烏０１
566,431.0,烏０１
567,431.0,百０１
568,431.0,百０１
569,431.0,練２１
570,431.0,練２２
571,431.0,練２２
572,431.0,若宮大和町循環
573,431.0,荻０４
574,431.0,荻０５
575,431.0,荻０６
576,431.0,荻０６
577,431.0,荻０７
578,431.0,荻０７
579,431.0,荻０７
580,431.0,荻０７－１
581,431.0,荻１０
582,431.0,荻１０
583,431.0,荻１０
584,431.0,荻１１
585,431.0,荻１２
586,431.0,荻１２
587,431.0,荻１２－１
588,431.0,荻１２－１
589,431.0,荻３０
590,431.0,荻３０
591,431.0,荻３１
592,431.0,荻３１
593,431.0,荻３２
594,431.0,荻３２
595,431.0,荻３３
596,431.0,荻３３
597,431.0,荻３４
598,431.0,荻３６
599,431.0,荻３６
600,431.0,荻３６
601,431.0,荻３６
602,431.0,荻４０
603,431.0,荻５１
604,431.0,荻５１
605,431.0,荻５１－１
606,431.0,荻５１－１
607,431.0,荻５３
608,431.0,荻５３
609,431.0,荻５４
610,431.0,荻５４
611,431.0,荻５４－１
612,431.0,荻５６
613,431.0,荻５６
614,431.0,荻５６
615,431.0,荻５８
616,431.0,荻５８
617,431.0,荻５８
618,431.0,荻５８
619,431.0,荻６０－１／荻６０
620,431.0,荻６０／荻６０－１
621,431.0,荻６０：宮前公園～荻窪駅南口
622,431.0,西０１
623,431.0,西０１
624,431.0,西０２
625,431.0,西０３
626,431.0,西０３
627,431.0,西１０
628,431.0,西１０
629,431.0,西２０
630,431.0,西５０
631,431.0,西５０
632,431.0,西５０
633,431.0,西５０
634,431.0,西５１
635,431.0,西５１
636,431.0,赤３１
637,431.0,赤３１
638,431.0,赤３１－１
639,431.0,赤３１－１
640,431.0,阿佐谷営業所～中野駅
641,431.0,阿佐谷営業所～中野駅
642,431.0,阿０１
643,431.0,阿０１
644,431.0,阿０１
645,431.0,阿０２
646,431.0,阿０３
647,431.0,阿０５
648,431.0,阿０５
649,431.0,阿４５
650,431.0,阿４５
651,431.0,阿５０
652,431.0,阿５１
653,431.0,高１０
654,431.0,高４３
655,431.0,高４３
656,431.0,高４５
657,431.0,高４５
658,431.0,高６０
659,431.0,高６０－１
660,431.0,高６３
661,431.0,高７０
662,431.0,高７０
663,431.0,鷹０２
664,431.0,鷹０２
665,431.0,鷹０２－１
666,431.0,鷹０３
667,431.0,Ｋ０１
668,431.0,Ｋ０１
669,431.0,Ｋ０２
670,425.0,保０２
671,425.0,光３１
672,425.0,光３１
673,425.0,吉６０
674,425.0,吉６０
675,425.0,吉６１
676,425.0,吉６１
677,425.0,吉６１－３
678,425.0,吉６１－３
679,425.0,吉６２－１
680,425.0,吉６３
681,425.0,吉６６
682,425.0,和４０
683,425.0,土支田循環
684,425.0,大泉学園駅～都民農園セコニック
685,425.0,宿２０
686,425.0,宿２０
687,425.0,宿２０－２
688,425.0,泉３０
689,425.0,泉３０
690,425.0,泉３０－１
691,425.0,泉３０－２
692,425.0,泉３１
693,425.0,泉３２
694,425.0,泉３３
695,425.0,泉３３
696,425.0,泉３５－１
697,425.0,泉３５－１
698,425.0,泉３５－２
699,425.0,泉３８
700,425.0,泉３８
701,425.0,泉３８－１
702,425.0,泉３８－２
703,425.0,泉３９
704,425.0,石０１
705,425.0,石０２
706,425.0,石０２
707,425.0,石２１
708,425.0,石２２
709,425.0,練高０１
710,425.0,練高０１
711,425.0,練高０２
712,425.0,練高０２
713,425.0,練高０３
714,425.0,練４１
715,425.0,練４１
716,425.0,練４２
717,425.0,練４３
718,425.0,練４３
719,425.0,練４７
720,425.0,練４７
721,425.0,練４８
722,425.0,練４８
723,425.0,練４８－１
724,425.0,荻１１
725,425.0,荻１２
726,425.0,荻１２
727,425.0,荻１２－１
728,425.0,荻１３
729,425.0,荻１３
730,425.0,荻１４
731,425.0,荻１５
732,425.0,荻１５
733,425.0,荻１５－２
734,425.0,荻１６
735,425.0,荻１６
736,425.0,荻１８
625,425.0,西０３
626,425.0,西０３
737,358.0,下赤０３：右回り
738,358.0,下赤０３：左回り
739,358.0,光０１
740,358.0,光０２
741,358.0,光０４
742,358.0,光０４
743,358.0,光２０２
744,358.0,増１４
745,358.0,増１４
746,358.0,増１６
747,358.0,増１６
748,358.0,増１６－２
749,358.0,増１７
750,358.0,増１７
751,358.0,増１９
752,358.0,川０４
753,358.0,川１４－２
754,358.0,川１４－２
755,358.0,川１５
756,358.0,川１５－３
757,358.0,川１６
758,358.0,川２１－２
759,358.0,川２１－３
760,358.0,常０１
761,358.0,常０１
762,358.0,東練０１
763,358.0,東練０１
764,358.0,東練０１－２
765,358.0,東練０１－２
766,358.0,東練０１：不動通り経由
767,358.0,東練０１：不動通り経由
768,358.0,東練０５
769,358.0,東練０５
770,358.0,東練８０
771,358.0,池０２
772,358.0,池０３
773,358.0,池０４
774,358.0,池０５
775,358.0,池０７
776,358.0,池０７
777,358.0,池１１
778,358.0,池１１
779,358.0,池２０
780,358.0,池２０－２
781,358.0,池２１
782,358.0,池２１
783,358.0,池５５
784,358.0,池５５
785,358.0,池８２
786,358.0,池８２
787,358.0,池８３
788,358.0,池８３
789,358.0,浮舟８０
790,358.0,王２２
791,358.0,王２２
792,358.0,王２３
793,358.0,王２３－２
794,358.0,王５４
795,358.0,王５４－２
796,358.0,石０２
797,358.0,石０２－２
798,358.0,石０３
799,358.0,石０３－２
800,358.0,練９５
801,358.0,練９５
802,358.0,西１１
803,358.0,西１１
804,358.0,赤０１
805,358.0,赤０１
806,358.0,赤０２
807,358.0,赤０２
808,358.0,赤０２－２
809,358.0,赤１１
810,358.0,赤１２
811,358.0,赤１３
812,358.0,赤２０
813,358.0,赤２０
814,358.0,赤２１
815,358.0,赤２１
816,358.0,赤２１：深夜
817,358.0,赤２３
818,358.0,赤２３
819,358.0,赤２３－３
820,358.0,赤２５
821,358.0,赤２５－２
822,358.0,赤２５－３
823,358.0,赤２６
824,358.0,赤２６
825,358.0,赤２７
826,358.0,赤２７
827,358.0,赤２７－２
828,358.0,赤２７－２
829,358.0,赤２７－３
830,358.0,赤２７Ｈ
831,358.0,赤２７Ｈ
832,358.0,赤３１
833,358.0,赤３１
834,358.0,赤３１－２
835,358.0,赤５０
836,358.0,赤５０
837,358.0,赤５１
838,358.0,赤５１
839,358.0,赤５２－２
840,358.0,赤５３
841,358.0,赤５３
842,358.0,赤５４
843,358.0,赤５４－１：体育館先回り
844,358.0,赤５４－１：赤羽郷先回り
845,358.0,赤５６
846,358.0,赤５７
847,358.0,赤５７－２
848,358.0,赤５８
849,358.0,赤５８
850,358.0,赤７１
851,358.0,赤７３
852,358.0,赤８０
853,358.0,赤８０－１
854,358.0,赤８０－２
855,358.0,赤９３
856,358.0,赤９３
857,358.0,赤９６
858,358.0,赤９７
859,358.0,高０１
860,358.0,高０１
861,358.0,高０１－２
862,433.0,丘２２
863,433.0,丘２２
864,433.0,中７１
865,433.0,中７１
866,433.0,中７１
867,433.0,中８１
868,433.0,中８１
869,433.0,中８２
870,433.0,中８２
871,433.0,中８３
872,433.0,中９１
873,433.0,中９１
874,433.0,中９１：中野駅～総合体育館
875,433.0,中９１：中野駅～総合体育館
876,433.0,中９２
877,433.0,中９２
878,433.0,八０１
879,433.0,八０２
880,433.0,八０２
881,433.0,宿３２
882,433.0,宿３２
883,433.0,宿３３
884,433.0,宿３３
885,433.0,宿３５
886,433.0,宿３５
887,433.0,宿４１
888,433.0,宿４１
889,433.0,宿５１
890,433.0,宿５１
561,433.0,新０２
562,433.0,新０２
891,433.0,歳２３
892,433.0,歳２３
893,433.0,永７０
894,433.0,永７０
895,433.0,永７２
896,433.0,渋６０
897,433.0,渋６１
898,433.0,渋６３
899,433.0,渋６４：中野車庫～中野駅
900,433.0,渋６４：中野車庫～中野駅
901,433.0,渋６４：中野車庫～渋谷駅
902,433.0,渋６４：中野車庫～渋谷駅
903,433.0,渋６４：中野駅～渋谷駅
904,433.0,渋６６
905,433.0,渋６６
906,433.0,渋６８
907,433.0,烏５１
908,433.0,烏５１
513,433.0,経０２
514,433.0,経０２
656,433.0,高４５
657,433.0,高４５
909,433.0,高４６
910,433.0,高４６
911,433.0,鷹６４
912,433.0,鷹６４
913,433.0,鷹６４：久我山～永福町
914,433.0,０５０：渋谷駅～ＢＴ東京八重洲
915,433.0,０５０：渋谷駅～ＢＴ東京八重洲
337,433.0,ＣＨ０１
916,433.0,ＷＥバス：新宿御苑ルート
917,433.0,ＷＥバス：西ルート
918,433.0,ＷＥバス：西ルート入庫
919,433.0,ＷＥバス：西ルート出庫
920,1602.0,井１９
921,1602.0,井１９
922,1602.0,井３０・森３０・森４０
923,1602.0,井３０・森３０・森４０
924,1602.0,井３０・森３０・森４０
925,1602.0,川７６
926,1602.0,川７６
927,1602.0,川７７
928,1602.0,川７７
929,1602.0,森１１
930,1602.0,森２１：羽田空港～大森駅
931,1602.0,森２１：羽田空港～大森駅
932,1602.0,森２１：羽田車庫～大森駅
933,1602.0,森２２
934,1602.0,森２３
935,1602.0,森２４
936,1602.0,森２４
937,1602.0,森２４
938,1602.0,森２６
939,1602.0,森２６
940,1602.0,森２７
941,1602.0,森２８
942,1602.0,森２８
943,1602.0,森３１
944,1602.0,森３１：仲之島橋循環
945,1602.0,森３２
946,1602.0,森３３
947,1602.0,森３４
948,1602.0,森３４
949,1602.0,森３６
950,1602.0,森４１
951,1602.0,森４３
952,1602.0,森４３
953,1602.0,森４５
954,1602.0,森４７
955,1602.0,森４８
956,1602.0,森５０
957,1602.0,森５６
958,1602.0,森５６
959,1602.0,空５１
960,1602.0,空７１
961,1602.0,空７１：空港内循環
962,1602.0,蒲３０
963,1602.0,蒲３１：羽田空港～ＪＲ蒲田駅
964,1602.0,蒲３１：羽田空港～ＪＲ蒲田駅
965,1602.0,蒲３１：羽田車庫～ＪＲ蒲田駅
966,1602.0,蒲３３
967,1602.0,蒲３５
968,1602.0,蒲３５
969,1602.0,蒲４０
970,1602.0,蒲４０
971,1602.0,蒲４２
972,1602.0,蒲４３
973,1602.0,蒲４３
974,1602.0,蒲６７
975,1602.0,蒲６７
976,1602.0,蒲７３
977,1602.0,蒲７３
978,1602.0,蒲７３
979,1602.0,蒲７３
980,1602.0,蒲９５
981,495.0,北千住線北千０１
982,495.0,小５５
983,495.0,小７２：一之江駅～スポーツ
984,495.0,小７２：小岩駅～一之江駅
985,495.0,小７２：小岩駅～一之江駅
986,495.0,小７２：小岩駅～瑞江駅
987,495.0,小７２：小岩駅～瑞江駅
988,495.0,小７２：小岩～スポーツランド
989,495.0,小７３
990,495.0,小７３
991,495.0,小７６：小岩駅～清掃工場
992,495.0,小７６：小岩駅～清掃工場
993,495.0,小７６：小岩駅～葛西駅
994,495.0,小７６：小岩駅～葛西駅
995,495.0,小７６：小岩～スポーツランド
996,495.0,新小５３
997,495.0,新小７１：新小岩駅～瑞江駅
998,495.0,新金０１
999,495.0,新金０１
1000,495.0,特急新小岩～ＴＤＲ
1001,495.0,特急新小岩～ＴＤＲ
1002,495.0,瑞江駅～一之江駅
1003,495.0,環０７急行：シャトルセブン
1004,495.0,環０８急行：シャトルセブン
1005,495.0,篠０１
1006,495.0,篠０１
1007,495.0,篠０１
1008,495.0,細０２：外回り
1009,495.0,臨海病院線
1010,495.0,金０１
1011,495.0,金０１出入
1012,495.0,金０２出入
1013,495.0,金６１
1014,495.0,金６１：深夜
1015,495.0,金６２
1016,495.0,金６２
1017,495.0,金６３
1018,495.0,青０１
1019,441.0,小５４
1020,441.0,小５４出入
1021,441.0,小７４
1022,441.0,小７４
1023,441.0,小７４出入
1024,441.0,小７４出入
1025,441.0,新小２０
1026,441.0,新小５１：新小岩駅～綾瀬駅
1027,441.0,新小５１：新小岩駅～ＴＢ車庫
1028,441.0,新小５２
1029,441.0,新小５２乙
1030,441.0,新小５８：亀有駅～ＴＢ車庫
1031,441.0,新小５８：新小岩駅～亀有駅
1032,441.0,新小５９
1033,441.0,新小５９
1034,441.0,新金０１
1035,441.0,新金０１
1036,441.0,有０１
1037,441.0,有０１
1038,441.0,有０２
1039,441.0,有５７
1040,441.0,有５７
1041,441.0,有７０：亀有駅循環
1042,441.0,有７０：金町駅～ＴＢ車庫
1043,441.0,有７０：金町駅～ＴＢ車庫
1044,441.0,有７０：金町駅～Ｗかつしか
1045,441.0,有７０：金町駅～Ｗかつしか
1046,441.0,細０２出入
1047,441.0,細０２：内回り
1048,441.0,綾０１
1049,441.0,綾０２
1050,441.0,金０２
1051,441.0,金０２
1052,1603.0,スカイツリーシャトル
1053,1603.0,五２８
1054,1603.0,五２８
1055,1603.0,六１８
1056,1603.0,六１９
1057,1603.0,北０１
1058,1603.0,北０２
1059,1603.0,北０３
1060,1603.0,北０３
1061,1603.0,北０４
1062,1603.0,北０５
1063,1603.0,北０５
1064,1603.0,北１１
1065,1603.0,北１１
1066,1603.0,有２５
1067,1603.0,有２６
1068,1603.0,有２７
1069,1603.0,有２９
1070,1603.0,有３６
1071,1603.0,有３８
1072,1603.0,有５１
1073,1603.0,有６４
1074,1603.0,有６５
1075,1603.0,深夜３１
1076,1603.0,深夜３９
1077,1603.0,王３０
1078,1603.0,王３０
1079,1603.0,竹０１：入谷町先回り循環
1080,1603.0,竹０２：入谷町先回り循環
1081,1603.0,竹０３
1082,1603.0,竹０４
1083,1603.0,竹０６：新里先回り
1084,1603.0,竹０８
1085,1603.0,竹１３
1086,1603.0,竹１４
1087,1603.0,竹１５
1088,1603.0,竹１６
1089,1603.0,竹１７
1090,1603.0,綾２０
1091,1603.0,綾２１
1092,1603.0,綾２１
1093,1603.0,綾２２
1094,1603.0,綾２４
1095,1603.0,綾３１
1096,1603.0,綾３３
1097,1603.0,綾３４
1098,1603.0,綾４０
1099,1603.0,綾６１
1100,1603.0,花畑桑袋団地～六町駅
1101,1603.0,花畑桑袋団地～六町駅
1102,1603.0,西０１
1103,1603.0,西０２
1104,1603.0,西０３
1105,1603.0,西０３
1106,1603.0,西０４
1107,1603.0,西０５
1108,1603.0,西０５
1109,1603.0,西０６
1110,1603.0,西０７
1111,1603.0,西０７
1112,1603.0,西０８
1113,1603.0,西２１
1114,1603.0,西２１
1115,1603.0,足３５
1116,1603.0,金５０
1117,1603.0,金５２
1118,1603.0,金５４
1119,1604.0,虎ノ門ヒルズ～晴海ＢＲＴ
1120,1604.0,虎ノ門ヒルズ～晴海ＢＲＴ
1121,1605.0,お台場レインボーバス
1122,1605.0,品川駅港南口～台場一丁目
1123,1606.0,ＩＫＥＢＵＳ：Ａルート
1124,1606.0,ＩＫＥＢＵＳ：Ｂルート
1125,1593.0,はるかぜ１号：西新井・綾瀬線
1126,1593.0,はるかぜ１０号：西新井・高野線
