バス会社ID,バス会社名称
1461,亀の井バス（株）
1462,大野竹田バス（株）
1463,日田バス（株）
1464,大交北部バス（株）
1465,国東観光バス（株）
1466,由布市
1467,臼津交通（株）
1468,豊後大野市
1469,宇佐市
1470,杵築市
1471,竹田市
1472,中津市
1473,国東市
1474,豊後高田市
1475,日田市
1476,佐伯市
1477,西鉄観光バス（株）
1478,玖珠観光バス（株）
1479,臼杵市
1480,大分市
1481,九重町
1482,日出町
1483,津久見市
1484,玖珠町
1485,九州産交バス（株）
1486,熊本バス（株）
1487,山都町
1488,熊本電気鉄道（株）
1489,熊本市
1490,高森町
1491,南阿蘇村
1492,産交バス（株）
1493,水俣市
1494,あさぎり町
1495,合志市
1496,球磨村
1497,山江村
1498,熊本都市バス（株）
1499,多良木町
1500,菊陽町
1501,上天草市
1502,八代市
1503,御船町
1504,人吉市
1505,南小国町
1506,（有）御所浦タクシー
1507,甲佐町
1508,菊池市
1509,山鹿市
1510,天草市
1511,宮崎交通（株）
1512,日南市
1513,椎葉村
1514,日之影町
1515,串間市
1516,延岡市
1517,小林市
1518,日向市
1519,西都市
1520,高千穂町
1521,都城市
1522,(有)高崎観光バス
1523,西米良村
1524,都農町
1525,宮崎市
1526,木城町
1527,五ヶ瀬町
1528,三股町
1529,川南町
1530,高鍋町
1531,諸塚村
1532,高原町
1533,国富町
1534,（有）あい交通
1535,宮崎観光バス（有）
1536,宮崎空港（株）
1537,三和交通（株）西都本社
1538,上日向自動車（株）
1539,南国交通（株）
1540,いわさきバスネットワーク（株）
1541,鹿児島交通（株）
1542,三州自動車（株）
1543,霧島市
1544,鹿児島市
1545,（株）しまバス（旧：道の島交通）
1546,南九州市
1547,曽於市
1548,薩摩川内市
1549,鹿屋市
1550,南さつま市
1551,南大隅町
1552,長島町
1553,志布志市
1554,日置市
1555,伊佐市
1556,出水市
1557,西之表市
1558,姶良市
1559,湧水町
1560,垂水市
1561,徳之島町
1562,種子島・屋久島交通（株）
1563,さつま町
1564,天城町
1565,中種子町
1566,まつばんだ交通バス（株）
1567,指宿市
1568,いちき串木野市
1569,沖永良部バス企業団
1570,南種子町
1571,（有）大和
1572,加計呂麻バス（有）
1573,錦江町
1574,肝付町
1575,南陸運（株）
1576,（株）琉球バス交通
1577,沖縄バス（株）
1578,那覇バス（株）
1579,東陽バス（株）
1580,東運輸（株）
1581,宮古協栄バス（資）
1582,国頭村
1583,久米島町
1584,豊見城市
1585,西表島交通（株）
1586,読谷村
1587,（株）八千代バス・タクシー
1588,（資）共和バス
1589,伊江島観光バス（株）
1590,（有）竹富島交通
1591,平安座総合開発（株）
1592,高速バス
1593,日立自動車交通
1594,豊島区
1595,草加市
1596,朝日バス
1597,日の丸自動車興業
1598,瑞穂町
1599,品川区
1600,江戸川区
1601,京王電鉄バス
1602,京急バス
1603,東武バスセントラル
1604,東京ＢＲＴ
1605,ｋｍモビリティサービス
1606,ウィラーエクスプレス
1607,新日本観光自動車
