バス会社ID,バス会社名称
355,館林観光バス（株）
356,みなかみ町
357,永井運輸（株）
358,国際興業（株）
359,西武観光バス
360,東武バスセントラル（株）
361,東武バスウエスト
362,国際十王交通（株）
363,朝日自動車（株）
364,川越観光自動車
365,イーグルバス（株）
366,川越市
367,深谷市
368,茨城急行自動車（株）
369,上尾市
370,加須市
371,熊谷市
372,坂戸市
373,本庄市
374,狭山市
375,所沢市
376,行田市
377,吉見町
378,羽生市
379,桶川市
380,幸手市
381,小鹿野町
382,ジャパンタローズ
383,嵐山町
384,鴻巣市
385,川口市
386,さいたま市
387,メートー観光
388,ライフバス
389,久喜市
390,杉戸町
391,東松山市
392,春日部市
393,上里町
394,毛呂山町
395,滑川町
396,武蔵観光
397,宮代町
398,ふじみ野市
399,ときがわ町
400,入間市
401,マイスカイ交通
402,大和観光自動車
403,三郷市
404,富士見市
405,グローバル交通
406,戸田市
407,秩父市
408,朝霞市
409,八潮市
410,新座市
411,丸建自動車
412,和光市
413,鳩山町
414,ロイヤル交通
415,鶴ヶ島市
416,伊奈町
417,皆野町
418,鳩ヶ谷市
419,神川町
420,蕨市
421,東秩父村
422,西武自動車
423,秩父鉄道観光バス
424,小田急バス（株）
425,西武バス（株）
426,京王バス南（株）
427,小田急シティバス（株）
428,東北急行バス（株）
429,東京空港交通（株）
430,西東京バス（株）
431,関東バス（株）
432,都営バス
433,京王バス
434,エムケイ（株）
435,立川バス（株）
436,立川バス・シティバス立川
437,神奈川中央交通・相模神奈交バス・津久井神奈交バス
438,東急バス・東急トランセ
439,京浜急行バス・羽田京急バス
440,（株）シティバス立川
441,京成タウンバス
442,足立区
443,大島旅客自動車（株）
444,日野市
445,稲城市
446,府中市
447,東武バス
448,武蔵村山市
449,町田市
450,千代田区
451,羽村市
452,練馬区
453,羽田京急バス
454,八丈町
455,武蔵野市
456,あきる野市
457,立川市
458,八王子市
459,三鷹市
460,三宅村
461,渋谷区
462,多摩市
463,台東区
464,昭島市
465,西東京市
466,東大和市
467,国立市
468,狛江市
469,中央区
470,小金井市
471,国分寺市
472,調布市
473,杉並区
474,東村山市
475,清瀬市
476,葛飾区
477,港区
478,世田谷区
479,銀河鉄道（株）
480,神津島村
481,小笠原村
482,新島村
483,檜原村
484,荒川区
485,文京区
486,北区
487,小津町会バス
488,小平市
489,中野区
490,江東区
491,大田区
492,板橋区
493,新宿区
494,JRバス関東（株）
495,京成バス（株）
496,千葉交通
497,小湊鉄道
498,成田空港交通
499,日東交通
500,千葉中央バス
501,東京ベイシティ交通
502,東武バスイースト
503,鴨川日東バス
504,千葉内陸バス
505,ちばフラワーバス（株）
506,館山日東バス
507,船橋新京成バス
508,阪東自動車
509,成田市
510,九十九里鉄道
511,香取市
512,ちばシティバス（株）
513,松戸新京成バス
514,匝瑳市
515,長柄町
516,八街市
517,千葉シーサイドバス
518,野田市
519,ちばレインボーバス
520,ちばグリーンバス
521,君津市
522,東洋バス
523,横芝光町
524,旭市
525,千葉海浜交通
526,いすみ市
527,南房総市
528,茂原市
529,印西市
530,白井市
531,多古町
532,八千代市
533,袖ヶ浦市
