市区町村名,緯度,経度,区内バス停ID,バス会社名称,バス停名称,バス停数
品川区,35.608385,139.758458,1,都営バス,２号バース前,2
品川区,35.605642,139.759422,2,都営バス,３号バース前,1
品川区,35.603909,139.761052,3,都営バス,４号バース前,2
品川区,35.600723,139.762069,4,都営バス,５号バース前,1
品川区,35.597349,139.76383,5,都営バス,６号バース前,2
港区,35.660728,139.727207,6,都営バス,ＥＸシアター六本木前,2
北区,35.769841,139.707102,8,国際興業（株）,ＨＰＳＣ北門,2
北区,35.767874,139.709602,10,国際興業（株）,ＨＰＳＣ南,4
北区,35.770544,139.709588,14,国際興業（株）,ＨＰＳＣ陸上門,2
豊島区,35.732676,139.715072,16,都営バス,Ｈａｒｅｚａ池袋,1
豊島区,35.732272,139.715749,18,豊島区,Ｈａｒｅｚａ池袋〔ＩＫＥＢＵＳ〕,None
豊島区,35.732085,139.71657,19,国際興業（株）,Ｈａｒｅｚａ池袋東,1
江東区,35.657632,139.793149,20,都営バス,ＩＨＩ前,None
豊島区,35.727493,139.722052,22,豊島区,ＩＫＥ・ＳＵＮＰＡＲＫ,1
練馬区,35.735016,139.600022,23,練馬区,ＪＡ東京あおば,2
大田区,35.586914,139.747104,25,京成バス（株）,ＪＭＴダイナベース,1
大田区,35.586861,139.744057,26,京成バス（株）,ＪＭＴ京浜トラックターミナル,1
台東区,35.714945,139.776635,27,台東区,ＪＲ上野駅公園口,1
中央区,35.687858,139.773422,28,日の丸自動車興業,ＪＲ新日本橋駅［中外製薬前］,None
北区,35.754527,139.736794,30,北区,ＪＲ王子駅〔Ｋバス〕,None
北区,35.738261,139.759644,31,北区,ＪＲ田端駅〔Ｋバス〕,None
豊島区,35.736015,139.747501,32,北区,ＪＲ駒込駅〔Ｋバス〕,None
渋谷区,35.655381,139.697808,33,渋谷区,ＪＴ前,None
世田谷区,35.635202,139.615835,34,小田急バス（株）,ＮＨＫ技研前,None
世田谷区,35.634432,139.615872,35,東急バス（株）,ＮＨＫ技術研究所,4
大田区,35.586576,139.732006,37,京成バス（株）,ＮＴＴ大森,3
江戸川区,35.710472,139.873969,40,都営バス,ＮＴＴ江戸川支店前,2
中央区,35.680893,139.772842,41,高速バス,ＶＩＰラウンジ東京駅八重洲北口,None
足立区,35.804119,139.815368,43,東武バス,あいぐみ公園前,2
中央区,35.666735,139.775626,45,中央区,あかつき公園,1
練馬区,35.76006,139.630417,46,練馬区,あかね雲公園,1
練馬区,35.732994,139.590386,50,西武バス（株）,あたご橋,2
足立区,35.74661,139.800345,52,足立区,あだち産業芸術プラザ入口,2
大田区,35.562727,139.720926,54,京成バス（株）,あやめ橋,2
足立区,35.785145,139.783566,56,国際興業（株）,いかづち公園前,2
千代田区,35.687291,139.739681,57,千代田区,いきいきプラザ一番町,1
品川区,35.589163,139.732685,58,京成バス（株）,いすゞ病院前,None
足立区,35.760282,139.785441,59,足立区,いずみ記念病院,2
足立区,35.760295,139.785536,61,足立区,いずみ記念病院入口,2
足立区,35.761221,139.785687,63,東武バス,いずみ記念病院前,2
板橋区,35.774438,139.655493,64,板橋区,おいせ坂上,2
港区,35.634434,139.776338,66,nan,お台場学園前,1
港区,35.629539,139.778357,67,nan,お台場海浜公園駅前,2
葛飾区,35.748013,139.841191,70,葛飾区,お花茶屋駅,1
江東区,35.639631,139.793466,72,都営バス,かえつ学園西,1
千代田区,35.693979,139.752305,73,千代田区,かがやきプラザ［九段坂病院］,1
台東区,35.717916,139.78984,74,東武バス,かっぱ橋道具街入口,1
板橋区,35.75143,139.681905,75,国際興業（株）,かみのね橋,3
千代田区,35.696604,139.768511,77,千代田区,かんだ連雀,1
渋谷区,35.664918,139.701363,78,渋谷区,かんなみの杜・渋谷,2
江東区,35.633504,139.794424,80,都営バス,がん研有明病院前,1
江戸川区,35.67293,139.861951,81,都営バス,くすのきカルチャーセンター前,2
目黒区,35.638928,139.698026,82,東急バス（株）,けこぼ坂上,2
荒川区,35.730678,139.801495,83,京成バス（株）,けんちの苑,2
世田谷区,35.625419,139.593406,84,小田急バス（株）,こまえ苑,2
文京区,35.711387,139.751669,85,文京区,こんにゃくえんま,None
葛飾区,35.776592,139.862007,86,京成バス（株）,さかえ児童遊園,1
品川区,35.59451,139.734343,87,品川区,さくら会前,None
荒川区,35.736612,139.805055,88,京成バス（株）,さくら保育園,2
江戸川区,35.707017,139.890238,90,京成バス（株）,さくら公園入口,2
品川区,35.596498,139.739937,91,京成バス（株）,しながわ区民公園,2
品川区,35.590857,139.736327,92,京成バス（株）,しながわ水族館前,2
葛飾区,35.77798,139.869752,94,京成バス（株）,しばられ地蔵,2
江戸川区,35.704611,139.894339,96,京成バス（株）,しゃくやく公園前,2
足立区,35.775619,139.829962,97,東武バス,しょうぶ沼公園,2
足立区,35.770862,139.831514,98,日立自動車交通,すいすいらんど綾瀬,2
世田谷区,35.657349,139.625788,99,京王バス,すきっぷ前,1
墨田区,35.715133,139.830797,100,京成バス（株）,すみだスポーツ健康センター入口,1
墨田区,35.697519,139.808762,101,京成バス（株）,すみだトリフォニーホール入口,1
墨田区,35.696994,139.80062,102,京成バス（株）,すみだ北斎美術館前［津軽家上屋敷跡］,None
墨田区,35.712898,139.81196,103,京成バス（株）,すみだ女性センター,1
千代田区,35.692346,139.760893,104,千代田区,ちよだプラットフォームスクウェア入口,None
台東区,35.713349,139.792519,105,台東区,つくばエクスプレス浅草駅〔めぐりん〕,None
渋谷区,35.687677,139.681495,106,渋谷区,つばめの里・本町東,1
世田谷区,35.652885,139.604845,107,小田急バス（株）,つりがね池公園,1
墨田区,35.70897,139.809239,108,都営バス,とうきょうスカイツリー駅入口,2
墨田区,35.7101,139.808597,109,都営バス,とうきょうスカイツリー駅前,3
板橋区,35.759177,139.68875,112,国際興業（株）,ときわ台駅,3
板橋区,35.756151,139.686157,115,国際興業（株）,ときわ台駅入口,2
世田谷区,35.675265,139.592539,116,小田急バス（株）,ときわ橋,2
豊島区,35.735077,139.736579,117,都営バス,とげぬき地蔵前,2
墨田区,35.715085,139.819766,119,京成バス（株）,とらばし児童遊園,1
葛飾区,35.787127,139.850429,120,京成バス（株）,なかよし通り,2
江戸川区,35.647415,139.879757,122,都営バス,なぎさニュータウン,5
葛飾区,35.772817,139.862953,126,京成バス（株）,にいじゅくみらい公園,2
葛飾区,35.770262,139.862558,127,京成バス（株）,にいじゅくみらい公園南,2
渋谷区,35.672531,139.710721,128,渋谷区,はぁとぴあ原宿入口,2
世田谷区,35.599048,139.654599,129,東急バス（株）,はちまん橋,1
渋谷区,35.664144,139.685095,130,渋谷区,はつらつセンター富ヶ谷,1
葛飾区,35.78189,139.869835,131,京成バス（株）,はなしょうぶ園,1
荒川区,35.738355,139.809051,132,都営バス,はなみずき通り中央,2
練馬区,35.753208,139.656614,133,練馬区,はやいち公園,1
足立区,35.805063,139.780164,134,東武バス,はんの木橋,2
世田谷区,35.632872,139.625995,136,東急バス（株）,ひまわり荘,2
練馬区,35.755469,139.596027,137,西武バス（株）,びくに公園入口,1
足立区,35.761797,139.821246,138,葛飾区,ふくろう堂,None
葛飾区,35.783067,139.860332,139,京成バス（株）,ふれあいの家,2
世田谷区,35.648514,139.608287,140,小田急バス（株）,ふれあい遊歩道,1
中央区,35.651129,139.775141,141,都営バス,ほっとプラザはるみ前,2
千代田区,35.696201,139.752947,143,都営バス,まないた橋,1
中野区,35.718243,139.645068,144,関東バス（株）,みつわ通り,1
墨田区,35.692868,139.803023,145,京成バス（株）,みどりコミュニティセンター,1
品川区,35.595381,139.764652,146,都営バス,みなとが丘ふ頭公園前,1
中野区,35.682615,139.66183,147,京王バス,みなとっぷ２１,1
港区,35.6469,139.751447,148,港区,みなとパーク芝浦,1
足立区,35.760514,139.75363,149,足立区,みやぎ水再生センター前,1
目黒区,35.621832,139.673742,151,東急バス（株）,めぐろ区民キャンパス,3
練馬区,35.767092,139.601834,154,西武バス（株）,もみじ山,2
中野区,35.709099,139.67357,155,関東バス（株）,もみじ山通り,2
足立区,35.741229,139.801186,156,足立区,やっちゃば緑道,1
世田谷区,35.622236,139.621246,157,東急バス（株）,やのはし,2
荒川区,35.739542,139.784269,158,京成バス（株）,ゆいの森あらかわ,1
足立区,35.767316,139.774593,159,日立自動車交通,ゆうあいの郷・扇,2
葛飾区,35.736099,139.834953,160,都営バス,よつぎ小学校前,2
品川区,35.62002,139.750915,161,都営バス,りんかい線天王洲アイル駅前,1
文京区,35.719889,139.725754,162,文京区,アカデミー音羽,None
港区,35.628106,139.773291,163,高速バス,アクアシティお台場,None
港区,35.628106,139.773291,164,高速バス,アクアシティお台場〔水陸両用バス〕,None
足立区,35.755981,139.758914,165,足立区,アクアステージ入口,1
荒川区,35.740608,139.79038,166,京成バス（株）,アクロシティ,2
荒川区,35.740639,139.783325,167,京成バス（株）,アクロスあらかわ,1
港区,35.667044,139.749431,168,京成バス（株）,アンダーズ東京,None
千代田区,35.703992,139.771665,169,千代田区,アーツ千代田３３３１,1
葛飾区,35.743967,139.835155,170,葛飾区,ウエルピアかつしか,None
港区,35.655679,139.76272,171,JRバス関東（株）,ウォーターズ竹芝,None
世田谷区,35.668064,139.608634,172,小田急バス（株）,ウテナ前,2
足立区,35.771108,139.797576,173,都営バス,エル・ソフィア前,2
世田谷区,35.617994,139.660041,174,東急バス（株）,エーダンモール深沢,2
渋谷区,35.682256,139.684992,175,渋谷区,オペラ通り,1
大田区,35.57089,139.681389,176,東急バス（株）,オリンピック下丸子店前,1
大田区,35.564491,139.684096,177,東急バス（株）,ガス橋二十一世紀桜,1
江東区,35.646469,139.80458,178,都営バス,キャナルコート２街区前,1
江東区,35.646654,139.803002,179,都営バス,キャナルコート３街区前,1
江東区,35.647859,139.804396,180,都営バス,キャナルコート４街区前,1
大田区,35.567563,139.683569,181,東急バス（株）,キヤノン本社通用門前,1
足立区,35.779927,139.791373,182,東武バス,ギャラクシティ,2
文京区,35.71461,139.751906,184,文京区,クイーンズ伊勢丹小石川店前,None
港区,35.625127,139.771319,185,関東バス（株）,グランドニッコー東京　台場,1
港区,35.630038,139.732314,187,都営バス,グランドプリンスホテル新高輪前,2
新宿区,35.71143,139.720847,189,都営バス,グランド坂下,1
荒川区,35.73874,139.791214,190,京成バス（株）,グリーンハイム荒川,2
渋谷区,35.675499,139.681564,191,渋谷区,ケアコミュニティ・せせらぎ,1
荒川区,35.735035,139.797251,192,京成バス（株）,コツ通り,2
江戸川区,35.643418,139.872257,193,都営バス,コーシャハイム南葛西,3
江戸川区,35.643306,139.872626,194,都営バス,コーシャハイム南葛西〔始発〕,None
世田谷区,35.647615,139.596649,195,小田急バス（株）,ゴルフ練習場前,2
文京区,35.705916,139.767649,197,文京区,サミットストア湯島天神南店,None
目黒区,35.620042,139.686977,198,東急バス（株）,サレジオ教会,2
豊島区,35.72974,139.717079,199,国際興業（株）,サンシャインシティ,2
豊島区,35.729951,139.719459,201,高速バス,サンシャインシティプリンスホテル,None
豊島区,35.730101,139.719703,203,豊島区,サンシャインシティプリンスホテル〔ＩＫＥＢＵＳ〕,None
豊島区,35.727677,139.720044,205,国際興業（株）,サンシャインシティ南,1
豊島区,35.729561,139.717235,206,豊島区,サンシャインシティ西,2
港区,35.654954,139.747206,208,nan,ザ・プリンス　パークタワー東京,None
千代田区,35.679897,139.738114,209,高速バス,ザ・プリンスギャラリー　東京紀尾井町,None
港区,35.639728,139.730166,210,nan,シェラトン都ホテル東京,None
中央区,35.669043,139.785249,211,中央区,シニアセンター,None
江東区,35.628617,139.832516,212,都営バス,シャシー整理場前,2
墨田区,35.729396,139.815476,213,京成バス（株）,シルバープラザ梅若,1
江東区,35.620527,139.776997,214,都営バス,シンボルプロムナード公園前,1
千代田区,35.685851,139.741756,215,千代田区,ジロール麹町入口［半蔵門駅］,1
千代田区,35.689385,139.767462,216,千代田区,スポーツセンター,2
江戸川区,35.667946,139.860562,217,都営バス,スポーツセンター前,None
江戸川区,35.70064,139.912758,219,京成バス（株）,スポーツランド入口,2
墨田区,35.726792,139.813087,221,京成バス（株）,セイコーミュージアム前・法泉寺入口,None
大田区,35.591054,139.768989,222,都営バス,セントラルビル前,2
品川区,35.608563,139.73764,223,東急バス（株）,ゼームス坂上,1
葛飾区,35.736004,139.855627,224,京成バス（株）,タウンバス車庫,2
新宿区,35.705291,139.700189,226,関東バス（株）,タワーホームズ前,2
大田区,35.585266,139.766124,227,都営バス,ダイトー大井物流センター前,2
江戸川区,35.695481,139.851775,228,都営バス,チェリーガーデン前,1
葛飾区,35.752163,139.851993,229,京成バス（株）,テクノプラザかつしか,2
江東区,35.617458,139.778871,230,都営バス,テレコムセンター駅前,1
文京区,35.70974,139.74336,232,文京区,トッパンホール・印刷博物館,None
北区,35.764865,139.747443,233,都営バス,トンボ鉛筆前,2
荒川区,35.73505,139.802508,234,京成バス（株）,ドナウ通り,2
大田区,35.591535,139.76995,236,都営バス,ニチレイ前,3
新宿区,35.6913,139.691366,237,高速バス,ハイアット　リージェンシー　東京,1
新宿区,35.691303,139.691758,238,京王バス,ハイアットリージェンシー東京前,1
足立区,35.771218,139.74436,239,都営バス,ハートアイランド入口,2
足立区,35.771417,139.746273,241,国際興業（株）,ハートアイランド北,2
足立区,35.768753,139.749331,244,国際興業（株）,ハートアイランド南,1
足立区,35.770207,139.74837,247,国際興業（株）,ハートアイランド東,1
足立区,35.769395,139.747468,250,都営バス,ハートアイランド西,1
千代田区,35.678861,139.768594,252,京王バス,バスターミナル東京八重洲,1
渋谷区,35.688687,139.700627,256,京王バス,バスタ新宿〔新宿駅新南口〕,None
葛飾区,35.790265,139.8683,260,京成バス（株）,バーベキュー広場・冒険広場入口,None
大田区,35.590823,139.663923,262,東急バス（株）,パークウェイ入口,2
新宿区,35.686428,139.690118,263,京王バス,パークハイアット東京前,1
渋谷区,35.648507,139.700211,264,東急バス・東急トランセ,ヒルサイドテラス,1
新宿区,35.692697,139.690977,265,nan,ヒルトン東京,1
港区,35.626373,139.770209,266,nan,ヒルトン東京お台場,1
江東区,35.629479,139.789609,267,都営バス,フェリー埠頭入口,1
渋谷区,35.682682,139.692133,268,京王バス,フォレストタウン,1
港区,35.62758,139.774911,269,都営バス,フジテレビ前,1
港区,35.626231,139.774157,273,京成バス（株）,フジテレビ南口,None
足立区,35.800314,139.806633,274,足立区,フラワーロード,1
荒川区,35.738719,139.809511,275,京成バス（株）,フロンティアシティ,2
港区,35.658547,139.75774,278,港区,プラザ神明,1
新宿区,35.685717,139.692739,279,京王バス,プレッソイン新宿前,1
江東区,35.675335,139.815549,281,nan,ホテルイースト２１東京,None
練馬区,35.754624,139.620044,282,西武バス（株）,ホテルカデンツァ東京,2
新宿区,35.695718,139.70188,284,京王バス,ホテルグレイスリー新宿,1
中央区,35.65373,139.779879,285,都営バス,ホテルマリナーズコート東京前,2
豊島区,35.728085,139.707783,287,高速バス,ホテルメトロポリタン,1
豊島区,35.728004,139.707754,288,豊島区,ホテルメトロポリタン〔ＩＫＥＢＵＳ〕,None
文京区,35.71399,139.72597,289,都営バス,ホテル椿山荘東京前,2
文京区,35.711913,139.72605,290,nan,ホテル椿山荘東京前〔ホテル前〕,None
江戸川区,35.706423,139.912096,293,京成バス（株）,ポニーランド,2
葛飾区,35.788024,139.86842,295,京成バス（株）,ポプラ並木,2
中央区,35.673553,139.783117,297,中央区,マイホーム新川,1
江東区,35.646617,139.784822,298,千葉内陸バス,ミチノテラス豊洲,None
文京区,35.703742,139.754808,299,文京区,ミーツポート,None
世田谷区,35.653679,139.642423,300,小田急バス（株）,ユリの木公園,2
世田谷区,35.609897,139.632319,301,東急バス（株）,ライズ・プラザモール前,2
文京区,35.706626,139.753939,303,文京区,ラクーア,None
練馬区,35.736554,139.660128,304,関東バス（株）,リサイクルセンター入口,1
中央区,35.669115,139.776956,305,中央区,リハポート明石,1
台東区,35.71819,139.804466,306,都営バス,リバーサイドスポーツセンター前,2
中央区,35.668647,139.785351,308,都営バス,リバーシティ２１,2
墨田区,35.70948,139.800342,309,都営バス,リバーピア吾妻橋前,3
葛飾区,35.785469,139.859361,313,京成バス（株）,リブレ京成前,2
大田区,35.583511,139.740584,314,京成バス（株）,レジャーランド平和島,2
千代田区,35.697319,139.768278,316,千代田区,ワテラス前,1
足立区,35.784522,139.810618,317,東武バス,一ツ家一丁目,2
足立区,35.778549,139.810602,318,東武バス,一ツ家三丁目,3
足立区,35.782103,139.810745,320,東武バス,一ツ家二丁目,2
足立区,35.782621,139.814784,321,東武バス,一ツ家第三公園入口,2
千代田区,35.692411,139.758997,322,都営バス,一ツ橋,None
葛飾区,35.776269,139.855917,323,京成バス（株）,一丁目北,None
葛飾区,35.775527,139.857196,324,京成バス（株）,一丁目南,None
江戸川区,35.702622,139.897928,325,京成バス（株）,一丁目広場,2
江戸川区,35.687251,139.877148,326,都営バス,一之江七丁目,2
江戸川区,35.693702,139.882672,327,都営バス,一之江二丁目,2
江戸川区,35.689862,139.87924,328,都営バス,一之江五丁目,3
江戸川区,35.688008,139.881668,330,都営バス,一之江四丁目,2
江戸川区,35.700598,139.881896,331,都営バス,一之江橋西詰,2
江戸川区,35.685964,139.88395,332,京成バス（株）,一之江駅前,6
江戸川区,35.685893,139.882575,344,京成バス（株）,一之江駅環七口,2
江戸川区,35.685688,139.881601,345,京成バス（株）,一之江駅西口,2
江戸川区,35.696888,139.882326,346,都営バス,一之江高速入口,2
千代田区,35.692534,139.740572,347,都営バス,一口坂,2
千代田区,35.693228,139.740664,349,千代田区,一口坂手前,1
荒川区,35.747346,139.783686,350,都営バス,一本松,2
千代田区,35.687504,139.742046,351,千代田区,一番町交差点,1
台東区,35.726278,139.790724,352,京成バス（株）,一葉記念館,None
台東区,35.725468,139.791133,353,台東区,一葉記念館入口,None
江戸川区,35.733339,139.89358,354,京成バス（株）,一里塚,2
渋谷区,35.678968,139.674474,357,京王バス,七号通り,2
江戸川区,35.679803,139.858389,359,都営バス,七軒町,None
大田区,35.551186,139.722246,360,京成バス（株）,七辻通り,2
千代田区,35.698348,139.76991,361,都営バス,万世橋,2
千代田区,35.697935,139.770246,362,千代田区,万世橋出張所,1
大田区,35.588379,139.711471,363,東急バス（株）,万福寺前,2
品川区,35.603431,139.733073,364,東急バス（株）,三ッ又,2
練馬区,35.723165,139.566381,365,西武バス（株）,三ツ塚,None
港区,35.65008,139.736547,368,都営バス,三ノ橋,2
台東区,35.728057,139.79443,369,都営バス,三ノ輪二丁目,4
荒川区,35.732386,139.792858,373,都営バス,三ノ輪橋,2
台東区,35.729668,139.792606,374,京成バス（株）,三ノ輪駅,2
台東区,35.729439,139.792385,375,台東区,三ノ輪駅［三ノ輪福祉センター前］,None
台東区,35.729292,139.791341,376,都営バス,三ノ輪駅前,2
千代田区,35.684695,139.763176,377,日の丸自動車興業,三井住友銀行,None
千代田区,35.68825,139.762489,378,日の丸自動車興業,三井物産,None
千代田区,35.700322,139.779768,379,台東区,三井記念病院前,None
中央区,35.68727,139.772792,381,日の丸自動車興業,三井記念美術館,None
港区,35.643822,139.730702,382,都営バス,三光坂下,2
練馬区,35.750937,139.607429,383,西武バス（株）,三原台一丁目,1
練馬区,35.755041,139.599022,386,西武バス（株）,三原台中学校,1
練馬区,35.755611,139.604524,387,国際興業（株）,三原台二丁目,1
練馬区,35.757348,139.602126,389,国際興業（株）,三原台北,1
中央区,35.670067,139.765696,391,中央区,三原橋,1
板橋区,35.788589,139.642643,392,国際興業（株）,三園一丁目中央,2
板橋区,35.788076,139.638856,393,国際興業（株）,三園一丁目西,2
板橋区,35.786731,139.64378,394,国際興業（株）,三園南,1
千代田区,35.681486,139.745059,395,都営バス,三宅坂,3
練馬区,35.73801,139.598719,396,西武バス（株）,三宝寺池,2
世田谷区,35.646322,139.678585,397,東急バス（株）,三宿,4
世田谷区,35.641029,139.685722,401,東急バス（株）,三宿病院前,2
台東区,35.72373,139.767618,403,台東区,三崎坂上,None
世田谷区,35.636625,139.620306,405,東急バス（株）,三本杉,4
大田区,35.59641,139.709688,408,東急バス（株）,三本松,1
新宿区,35.689453,139.724102,410,都営バス,三栄町,2
台東区,35.719628,139.769436,411,台東区,三段坂上,None
荒川区,35.732761,139.778571,412,都営バス,三河島駅前,2
港区,35.654769,139.739825,414,港区,三田一丁目,None
港区,35.647039,139.743614,415,港区,三田三丁目,2
港区,35.646416,139.739771,416,都営バス,三田五丁目,2
港区,35.643596,139.74024,418,港区,三田四丁目,None
港区,35.648662,139.749065,419,港区,三田線三田駅前,2
台東区,35.706522,139.787652,421,都営バス,三筋二丁目,2
台東区,35.706108,139.784988,422,台東区,三筋二丁目［台東デザイナーズビレッジ］,None
台東区,35.704537,139.788126,423,京成バス（株）,三筋児童遊園,None
台東区,35.705722,139.787909,424,台東区,三筋老人福祉館東,None
葛飾区,35.771441,139.860795,425,京成バス（株）,三菱ガス化学東京テクノパーク,2
千代田区,35.679849,139.763948,426,高速バス,三菱ビル,None
江戸川区,35.67553,139.870999,427,都営バス,三角,None
世田谷区,35.616854,139.617402,428,東急バス（株）,三角公園,1
葛飾区,35.774898,139.863293,429,京成バス（株）,三角広場,1
目黒区,35.630318,139.683422,430,東急バス（株）,三谷,2
板橋区,35.787585,139.684912,432,国際興業（株）,三軒家,None
練馬区,35.754263,139.608666,433,西武バス（株）,三軒寺,1
世田谷区,35.643291,139.669555,436,東急バス（株）,三軒茶屋,None
世田谷区,35.646086,139.669911,442,小田急バス（株）,三軒茶屋銀座,2
世田谷区,35.643691,139.672008,443,東急バス（株）,三軒茶屋駅,1
墨田区,35.721047,139.825921,444,京成バス（株）,三輪里稲荷神社入口,1
板橋区,35.750858,139.681957,445,都営バス,上の根橋,2
江戸川区,35.724208,139.870168,446,都営バス,上一色,2
江戸川区,35.725349,139.872192,447,都営バス,上一色コミュニティセンター前,2
江戸川区,35.729185,139.872831,448,江戸川区,上一色三丁目,None
江戸川区,35.723345,139.873778,449,都営バス,上一色中学校前,2
江戸川区,35.726265,139.873631,451,江戸川区,上一色二丁目東,None
江戸川区,35.725294,139.873241,452,江戸川区,上一色二丁目西,None
世田谷区,35.663297,139.621771,453,京王バス,上北沢２丁目,None
世田谷区,35.674324,139.613813,455,関東バス（株）,上北沢五丁目,2
世田谷区,35.668426,139.621548,456,京王バス,上北沢公園,1
北区,35.760838,139.719132,457,国際興業（株）,上十条三丁目,2
北区,35.764217,139.715367,458,都営バス,上十条五丁目,2
北区,35.761997,139.716127,461,国際興業（株）,上十条四丁目,2
北区,35.758667,139.725612,462,国際興業（株）,上十条郵便局,2
渋谷区,35.667776,139.686271,463,京王バス,上原一丁目,2
渋谷区,35.667909,139.683526,464,京王バス,上原二丁目,2
渋谷区,35.664057,139.679938,465,渋谷区,上原二丁目南,1
渋谷区,35.665664,139.679249,466,渋谷区,上原小学校,1
品川区,35.634378,139.719013,467,都営バス,上大崎,1
板橋区,35.757596,139.706801,468,国際興業（株）,上宿,1
文京区,35.732767,139.749811,470,都営バス,上富士前,4
江戸川区,35.710609,139.907267,472,京成バス（株）,上本郷,None
板橋区,35.759986,139.67837,474,国際興業（株）,上板橋一丁目,2
板橋区,35.762054,139.670914,475,国際興業（株）,上板橋二丁目,2
板橋区,35.763617,139.676871,476,国際興業（株）,上板橋駅,1
板橋区,35.76393,139.677281,477,国際興業（株）,上板橋駅前,0
台東区,35.724469,139.778918,478,都営バス,上根岸,2
大田区,35.588789,139.696553,479,東急バス（株）,上池上,2
大田区,35.592094,139.698049,481,東急バス（株）,上池上商店街,2
豊島区,35.735804,139.719148,483,都営バス,上池袋一丁目,2
豊島区,35.737511,139.721008,484,都営バス,上池袋三丁目,2
豊島区,35.739192,139.722855,485,都営バス,上池袋四丁目,2
足立区,35.778406,139.7628,486,都営バス,上沼田団地,2
足立区,35.778387,139.763876,489,国際興業（株）,上沼田団地入口,2
世田谷区,35.631347,139.633391,490,東急バス（株）,上用賀三丁目,4
世田谷区,35.632609,139.628191,493,東急バス（株）,上用賀五丁目,2
世田谷区,35.636873,139.626835,494,東急バス（株）,上用賀六丁目,2
世田谷区,35.635488,139.631564,495,東急バス（株）,上用賀四丁目,2
世田谷区,35.627796,139.629715,497,東急バス（株）,上用賀遊歩道,2
北区,35.73532,139.759367,498,都営バス,上田端,2
世田谷区,35.642767,139.64704,499,小田急バス（株）,上町,2
世田谷区,35.642778,139.646784,501,東急バス（株）,上町駅,2
練馬区,35.731714,139.583346,502,練馬区,上石神井アパート,2
練馬区,35.729471,139.591422,503,練馬区,上石神井中学校入口,2
練馬区,35.729564,139.596308,505,練馬区,上石神井二丁目,2
練馬区,35.734699,139.589634,506,西武バス（株）,上石神井北小学校,2
練馬区,35.726522,139.591156,508,練馬区,上石神井駅,2
世田谷区,35.652399,139.602033,512,小田急バス（株）,上祖パンダ公園南,1
世田谷区,35.655211,139.596309,513,小田急バス（株）,上祖師谷四丁目,2
江戸川区,35.712295,139.906642,515,京成バス（株）,上篠崎,2
新宿区,35.711236,139.690176,517,関東バス（株）,上落合一丁目,3
新宿区,35.713095,139.686105,519,西武バス（株）,上落合二丁目,2
足立区,35.777205,139.834136,520,東武バス,上谷中町,2
板橋区,35.780852,139.638469,522,国際興業（株）,上赤塚交番,2
台東区,35.709534,139.771644,523,都営バス,上野公園,None
台東区,35.711086,139.773964,527,都営バス,上野公園山下,4
台東区,35.714434,139.76798,529,台東区,上野動物園池之端門前,None
台東区,35.715011,139.782086,530,台東区,上野学園,None
文京区,35.708183,139.771979,532,都営バス,上野広小路,3
台東区,35.709104,139.773546,535,都営バス,上野松坂屋前,4
台東区,35.7224,139.77407,540,都営バス,上野桜木,2
台東区,35.719772,139.770746,541,台東区,上野桜木会館,None
世田谷区,35.613293,139.640463,542,東急バス（株）,上野毛まちづくりセンター,2
世田谷区,35.612468,139.638094,543,東急バス（株）,上野毛駅,5
台東区,35.718981,139.780424,547,京成バス（株）,上野郵便局,None
台東区,35.714504,139.778434,548,高速バス,上野駅〔入谷口〕,None
台東区,35.711923,139.778478,549,台東区,上野駅〔南めぐりん〕,None
台東区,35.711011,139.773914,550,東武バス,上野駅〔東武バス〕,None
台東区,35.710375,139.776347,551,高速バス,上野駅〔松村ビル前〕,None
台東区,35.711649,139.777759,552,高速バス,上野駅〔高速バス降車場〕,None
台東区,35.714904,139.776568,553,東武バス,上野駅・上野公園〔東武バス／めぐりん〕,None
台東区,35.711409,139.775325,554,都営バス,上野駅前,None
江戸川区,35.691589,139.906045,557,京成バス（株）,上鎌田,2
世田谷区,35.636706,139.665651,559,小田急バス（株）,上馬,2
世田谷区,35.63752,139.662433,562,東急バス（株）,上馬四丁目,2
中野区,35.717046,139.67231,563,関東バス（株）,上高田中通り,2
大田区,35.565699,139.688896,565,東急バス（株）,下丸子図書館入口,1
大田区,35.571733,139.687325,566,東急バス（株）,下丸子駅入口,1
足立区,35.76531,139.829114,567,日立自動車交通,下井病院,2
江戸川区,35.677643,139.885309,568,都営バス,下今井,2
世田谷区,35.660369,139.668891,569,小田急バス（株）,下北沢駅前,2
世田谷区,35.627508,139.603293,570,小田急バス（株）,下宿,1
江戸川区,35.728184,139.881879,572,京成バス（株）,下小岩小学校前,2
葛飾区,35.720196,139.865972,574,京成バス（株）,下小松橋,2
練馬区,35.750544,139.598486,577,西武バス（株）,下屋敷,3
練馬区,35.735274,139.654282,578,関東バス（株）,下新街,1
荒川区,35.728223,139.782272,581,都営バス,下根岸,2
中野区,35.720829,139.671278,582,京王バス,下田橋,1
北区,35.740958,139.760773,585,都営バス,下田端,2
墨田区,35.712639,139.823504,586,京成バス（株）,下町人情キラキラ橘商店街入口,1
目黒区,35.629612,139.702188,587,東急バス（株）,下目黒五丁目,2
練馬区,35.733606,139.610459,588,関東バス（株）,下石神井一丁目,2
練馬区,35.734632,139.608705,590,関東バス（株）,下石神井坂下,2
