市区町村名,緯度,経度,区内バス停ID,バス会社名称,バス停名称,バス停数
練馬区,35.750974,139.589043,2491,西武バス（株）,妙延寺前,2
練馬区,35.751137,139.579421,2493,練馬区,妙福寺,2
板橋区,35.763168,139.712676,2494,関東バス（株）,姥ヶ橋,4
荒川区,35.7393,139.778258,2499,京成バス（株）,子ども家庭支援センター,2
足立区,35.756902,139.80202,2500,足立区,学びピア前,1
練馬区,35.755837,139.587389,2503,西武バス（株）,学園橋,2
練馬区,35.772437,139.595736,2504,練馬区,学園町八丁目東,2
練馬区,35.768662,139.587024,2505,練馬区,学園通り補助２３０号線,2
江東区,35.671857,139.83197,2506,都営バス,学校通り,None
練馬区,35.728342,139.651329,2507,関東バス（株）,学田橋,2
葛飾区,35.777501,139.860538,2508,京成バス（株）,学童保育クラブ,1
豊島区,35.716,139.712063,2509,都営バス,学習院下,2
新宿区,35.709065,139.709199,2511,都営バス,学習院女子大学前,3
練馬区,35.745088,139.586222,2513,西武バス（株）,学芸大付属前,2
世田谷区,35.634987,139.680213,2515,東急バス（株）,学芸大学附属高校,4
目黒区,35.629881,139.686203,2517,東急バス（株）,学芸大学駅,2
世田谷区,35.623343,139.660044,2518,東急バス（株）,学芸附属中学校,2
世田谷区,35.622489,139.657393,2520,東急バス（株）,学芸附属小学校,2
文京区,35.70467,139.760113,2522,文京区,宇佐美本郷ビル前,None
江戸川区,35.670799,139.856823,2523,都営バス,宇喜田,4
江戸川区,35.676095,139.859508,2526,都営バス,宇喜田公園前,2
江戸川区,35.675152,139.864536,2527,都営バス,宇喜田小学校,2
江戸川区,35.672344,139.866028,2528,都営バス,宇喜田第一住宅,2
世田谷区,35.621913,139.606513,2529,小田急バス（株）,宇奈根,1
世田谷区,35.622917,139.60516,2530,小田急バス（株）,宇奈根ハンカチ公園,1
世田谷区,35.622514,139.606857,2532,東急バス（株）,宇奈根一丁目,1
世田谷区,35.623538,139.602519,2533,小田急バス（株）,宇奈根地区会館,1
世田谷区,35.637908,139.623624,2535,小田急バス（株）,宇山,None
渋谷区,35.662531,139.696638,2537,都営バス,宇田川町,1
目黒区,35.634077,139.690274,2538,東急バス（株）,守屋図書館,2
大田区,35.582416,139.696804,2539,東急バス（株）,安詳寺前,2
中野区,35.697258,139.679535,2540,都営バス,宝仙寺前,2
世田谷区,35.655802,139.616871,2541,京王バス,宝性寺,2
葛飾区,35.745304,139.840055,2542,葛飾区,宝町二丁目,2
世田谷区,35.64412,139.618618,2544,東急バス（株）,実相寺前,2
渋谷区,35.656747,139.710757,2545,都営バス,実践女子学園前,1
中央区,35.688755,139.773816,2546,都営バス,室町三丁目,2
中央区,35.686654,139.774899,2547,中央区,室町二丁目［コレド室町前］,None
目黒区,35.613609,139.685968,2548,東急バス（株）,宮が丘,2
板橋区,35.775729,139.660354,2549,国際興業（株）,宮の下,2
