市区町村名,緯度,緯度,経度,経度,区内バス停ID,会社名称,路線名称,どこからどこまで,行き方面,帰り方面,バス停名称,url,同じバス停
error,None,None,None,None,31,東急バス,南６１,センター南駅～中山駅北口,中山駅北口方面,センター南駅方面,中山駅北口,https://mb.jorudan.co.jp//os/bus/1303/stop/42510.html,
error,None,None,None,None,32,東急バス,市４３：鉄町,市が尾駅～鉄町,鉄町方面,市が尾駅方面,鉄町,https://mb.jorudan.co.jp//os/bus/1303/stop/42680.html,
error,None,None,None,None,33,東急バス,市６１,市が尾駅～荏田西四丁目,市が尾駅方面,市が尾駅方面,市が尾駅,https://mb.jorudan.co.jp//os/bus/1303/stop/42521.html,
error,None,None,None,None,34,東急バス,新横８２,新羽駅～新横浜駅,新横浜駅方面,新羽駅方面,新横浜駅,https://mb.jorudan.co.jp//os/bus/1303/stop/42202.html,
error,None,None,None,None,35,東急バス,日４０,日吉駅東口～東山田営業所,日吉駅方面,東山田営業所方面,東山田営業所,https://mb.jorudan.co.jp//os/bus/1303/stop/42267.html,
error,None,None,None,None,36,東急バス,日５１,日吉駅東口～日吉本町,日吉駅東口方面,日吉駅東口方面,日吉駅東口,https://mb.jorudan.co.jp//os/bus/1303/stop/43243.html,
error,None,None,None,None,37,東急バス,渋１１：渋谷駅～都立大学駅,渋谷駅～都立大学駅北口,都立大学駅北口方面,渋谷駅方面,都立大学駅北口,https://mb.jorudan.co.jp//os/bus/1303/stop/42885.html,
error,None,None,None,None,38,東急バス,渋１２,渋谷駅～高津営業所,高津営業所方面,渋谷駅方面,高津営業所,https://mb.jorudan.co.jp//os/bus/1303/stop/42600.html,
error,None,None,None,None,39,東急バス,渋２４,渋谷駅～成城学園前駅西口,成城学園前駅西口方面,渋谷駅方面,成城学園前駅西口,https://mb.jorudan.co.jp//os/bus/1303/stop/42796.html,
error,None,None,None,None,40,東急バス,渋４１：渋谷駅～新馬場駅前,渋谷駅～新馬場駅前,新馬場駅前方面,渋谷駅方面,新馬場駅前,https://mb.jorudan.co.jp//os/bus/1303/stop/42317.html,
error,None,None,None,None,41,東急バス,溝０３,溝の口駅～小杉駅前,小杉駅前方面,溝の口駅方面,小杉駅前,https://mb.jorudan.co.jp//os/bus/1303/stop/42356.html,
error,None,None,None,None,42,東急バス,玉０７,二子玉川駅～成城学園前駅西口,二子玉川駅方面,成城学園前駅方面,成城学園前駅,https://mb.jorudan.co.jp//os/bus/1303/stop/42796.html,
error,None,None,None,None,43,東急バス,玉１２,二子玉川駅～駒沢大学駅前,高津営業所方面,駒沢大学駅前方面,駒沢,https://mb.jorudan.co.jp//os/bus/1303/stop/42600.html,
error,None,None,None,None,44,東急バス,玉３２,二子玉川駅～玉川高島屋ＳＣ西口,二子玉川駅方面,二子玉川駅方面,二子玉川駅,https://mb.jorudan.co.jp//os/bus/1303/stop/42716.html,
error,None,None,None,None,45,東急バス,等２１,等々力操車所～玉川警察署,等々力操車所方面,等々力操車所方面,等々力操車所,https://mb.jorudan.co.jp//os/bus/1303/stop/42790.html,
error,None,None,None,None,46,東急バス,綱４６,綱島駅～道中坂下,道中坂下方面,綱島駅方面,道中坂下,https://mb.jorudan.co.jp//os/bus/1303/stop/43024.html,
error,None,None,None,None,47,東急バス,綱７３,綱島駅～新羽駅,新羽駅方面,綱島駅方面,新羽駅,https://mb.jorudan.co.jp//os/bus/1303/stop/43341.html,
error,None,None,None,None,48,東急バス,自０１,自由が丘駅～瀬田営業所,瀬田営業所方面,自由が丘駅方面,瀬田営業所,https://mb.jorudan.co.jp//os/bus/1303/stop/43436.html,
error,None,None,None,None,49,東急バス,自１１,東京医療センター～自由が丘駅,自由が丘駅方面,東京医療センター方面,自由が丘駅,https://mb.jorudan.co.jp//os/bus/1303/stop/43074.html,
error,None,None,None,None,50,東急バス,自１１,東京医療センター～自由が丘駅,自由が丘駅入口方面,東京医療センター方面,自由が丘駅入口,https://mb.jorudan.co.jp//os/bus/1303/stop/43074.html,
error,None,None,None,None,51,東急バス,都立３５,東京医療センター～三宿,三宿方面,東京医療センター方面,三宿,https://mb.jorudan.co.jp//os/bus/1303/stop/42612.html,
error,None,None,None,None,52,東急バス,青葉台営業所出入：あかね台行,青葉台営業所～あかね台,あかね台方面,青葉台営業所方面,あかね台,https://mb.jorudan.co.jp//os/bus/1303/stop/42165.html,
error,None,None,None,None,53,東急バス,青１１,青葉台駅～青葉台連合商店会,青葉台駅方面,青葉台駅方面,青葉台駅,https://mb.jorudan.co.jp//os/bus/1303/stop/42339.html,
error,None,None,None,None,54,東急バス,鷺０５：深夜,鷺沼駅～センター北駅,センター北駅方面,鷺沼駅方面,センター北駅,https://mb.jorudan.co.jp//os/bus/1303/stop/42254.html,
error,None,None,None,None,55,東急バス,鷺２１,鷺沼駅～虹が丘営業所,虹が丘営業所方面,鷺沼駅方面,虹が丘営業所,https://mb.jorudan.co.jp//os/bus/1303/stop/43036.html,
error,None,None,None,None,56,小田急バス,世田谷営業所～梅ヶ丘駅,世田谷営業所～梅ヶ丘駅,梅ヶ丘駅方面,世田谷営業所方面,梅ヶ丘駅,https://mb.jorudan.co.jp//os/bus/1309/stop/271337.html,
error,None,None,None,None,57,小田急バス,吉０３,吉祥寺駅～仙川,吉祥寺駅中央口方面,仙川方面,仙川,https://mb.jorudan.co.jp//os/bus/1309/stop/49668.html,
error,None,None,None,None,58,小田急バス,境２１：くぬぎ橋経由,武蔵境駅北口～桜堤団地入口,武蔵境駅北口方面,武蔵境駅北口方面,武蔵境駅北口,https://mb.jorudan.co.jp//os/bus/1309/stop/49280.html,
error,None,None,None,None,59,小田急バス,境２１：亜細亜大学経由,武蔵境駅北口～桜堤上水端［ｈｏｃｃｏ］,桜堤上水端［ｈｏｃｃｏ］方面,武蔵境駅北口方面,桜堤上水端［ｈｏｃｃｏ］,https://mb.jorudan.co.jp//os/bus/1309/stop/317266.html,
error,None,None,None,None,60,小田急バス,境２１：亜細亜大学経由,武蔵境駅北口～桜堤上水端［ｈｏｃｃｏ］,武蔵境駅北口方面,団地上水端方面,団地上水端,https://mb.jorudan.co.jp//os/bus/1309/stop/317266.html,
error,None,None,None,None,61,小田急バス,境９２：吉野南～武蔵境駅南口,吉野南～武蔵境駅南口,武蔵境駅南口方面,吉野南方面,武蔵境駅南口,https://mb.jorudan.co.jp//os/bus/1309/stop/49420.html,
error,None,None,None,None,62,小田急バス,成城学園前駅南口～狛江営業所,成城学園前駅南口～狛江営業所,狛江営業所方面,成城学園前駅南口方面,狛江営業所,https://mb.jorudan.co.jp//os/bus/1309/stop/48961.html,
error,None,None,None,None,63,小田急バス,成城学園前駅西口～仙川駅入口,成城学園前駅西口～仙川駅入口,仙川駅入口方面,成城学園前駅西口方面,仙川駅入口,https://mb.jorudan.co.jp//os/bus/1309/stop/49615.html,
error,None,None,None,None,64,小田急バス,新宿駅西口～世田谷営業所,新宿駅西口～世田谷営業所,世田谷営業所方面,新宿駅西口方面,世田谷営業所,https://mb.jorudan.co.jp//os/bus/1309/stop/224246.html,
error,None,None,None,None,65,小田急バス,新０９循環,新百合ヶ丘駅～麻生警察署前,新百合ヶ丘駅方面,新百合ヶ丘駅方面,新百合ヶ丘駅,https://mb.jorudan.co.jp//os/bus/1309/stop/49282.html,
error,None,None,None,None,66,小田急バス,柿２５,柿生駅北口～甲神社入口,柿生駅北口方面,柿生駅北口方面,柿生駅北口,https://mb.jorudan.co.jp//os/bus/1309/stop/49735.html,
error,None,None,None,None,67,小田急バス,梅０２,梅ヶ丘駅～経堂駅,経堂駅方面,梅ヶ丘駅方面,経堂駅,https://mb.jorudan.co.jp//os/bus/1309/stop/49713.html,
error,None,None,None,None,68,小田急バス,狛江営業所～中和泉～狛江駅北口,狛江営業所～狛江駅北口,狛江駅北口方面,狛江営業所方面,狛江駅北口,https://mb.jorudan.co.jp//os/bus/1309/stop/49081.html,
error,None,None,None,None,69,小田急バス,狛江営業所～千歳烏山駅南口,狛江営業所～千歳烏山駅南口,千歳烏山駅南口方面,狛江営業所方面,千歳烏山駅南口,https://mb.jorudan.co.jp//os/bus/1309/stop/49647.html,
error,None,None,None,None,70,小田急バス,玉０７,二子玉川駅～成城学園前駅西口,二子玉川駅方面,成城学園前駅南口方面,成城学園前駅南口,https://mb.jorudan.co.jp//os/bus/1309/stop/49337.html,
error,None,None,None,None,71,小田急バス,直行吉１３,吉祥寺駅～杏林大学井の頭キャンパス,杏林大学井の頭キャンパス方面,吉祥寺駅方面,杏林大学井の頭キャンパス,https://mb.jorudan.co.jp//os/bus/1309/stop/178138.html,
error,None,None,None,None,72,小田急バス,祖師谷・成城地域循環,祖師ヶ谷大蔵駅～祖師谷商店街西,祖師ヶ谷大蔵駅方面,祖師ヶ谷大蔵駅方面,祖師ヶ谷大蔵駅,https://mb.jorudan.co.jp//os/bus/1309/stop/49037.html,
error,None,None,None,None,73,小田急バス,緑ヶ丘循環,仙川駅～柳川橋,仙川駅方面,仙川駅方面,仙川駅,https://mb.jorudan.co.jp//os/bus/1309/stop/49369.html,
error,None,None,None,None,74,小田急バス,調３２,調布駅北口～武蔵境営業所,武蔵境営業所方面,調布駅北口方面,武蔵境営業所,https://mb.jorudan.co.jp//os/bus/1309/stop/49406.html,
error,None,None,None,None,75,小田急バス,鷹５９,三鷹駅～法専寺前,三鷹駅方面,三鷹駅方面,三鷹駅,https://mb.jorudan.co.jp//os/bus/1309/stop/49726.html,
error,None,None,None,None,76,関東バス,中１２－２,中野駅～江古田駅,江古田駅方面,中野駅方面,江古田駅,https://mb.jorudan.co.jp//os/bus/1308/stop/48661.html,
