会社名称,路線名称,どこからどこまで,行き方面,帰り方面,バス停名称,url,緯度,経度
都バス２３区,上２３,平井駅前～上野松坂屋前,上野松坂屋前方面,平井駅前方面,墨田区役所前,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,35.70698944444444,139.77256722222222
都バス２３区,上２３,平井駅前～上野松坂屋前,上野松坂屋前方面,平井駅前方面,浅草雷門,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,35.70698944444444,139.77256722222222
都バス２３区,上２３,平井駅前～上野松坂屋前,上野松坂屋前方面,平井駅前方面,浅草一丁目,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,35.70698944444444,139.77256722222222
都バス２３区,上２３,平井駅前～上野松坂屋前,上野松坂屋前方面,平井駅前方面,浅草寿町,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,35.70698944444444,139.77256722222222
都バス２３区,上２３,平井駅前～上野松坂屋前,上野松坂屋前方面,平井駅前方面,菊屋橋,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,35.70698944444444,139.77256722222222
都バス２３区,上２３,平井駅前～上野松坂屋前,上野松坂屋前方面,平井駅前方面,東上野六丁目,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,35.70698944444444,139.77256722222222
都バス２３区,上２３,平井駅前～上野松坂屋前,上野松坂屋前方面,平井駅前方面,下谷神社前,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,35.70698944444444,139.77256722222222
都バス２３区,上２３,平井駅前～上野松坂屋前,上野松坂屋前方面,平井駅前方面,上野駅前,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,35.70698944444444,139.77256722222222
都バス２３区,上２３,平井駅前～上野松坂屋前,上野松坂屋前方面,平井駅前方面,上野公園山下,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,35.70698944444444,139.77256722222222
都バス２３区,上２３,平井駅前～上野松坂屋前,上野松坂屋前方面,平井駅前方面,上野松坂屋前,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,35.70698944444444,139.77256722222222
都バス２３区,上２３,平井駅前～上野松坂屋前,平井駅前方面,上野松坂屋前方面,平井駅前,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,35.70698944444444,139.77256722222222
都バス２３区,上２３,平井駅前～上野松坂屋前,平井駅前方面,上野松坂屋前方面,平井小学校前,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,35.70698944444444,139.77256722222222
都バス２３区,上２３,平井駅前～上野松坂屋前,平井駅前方面,上野松坂屋前方面,平井六丁目交番前,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,35.70698944444444,139.77256722222222
都バス２３区,上２３,平井駅前～上野松坂屋前,平井駅前方面,上野松坂屋前方面,平井七丁目,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,35.70698944444444,139.77256722222222
都バス２３区,上２３,平井駅前～上野松坂屋前,平井駅前方面,上野松坂屋前方面,平井七丁目北公園前,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,35.70698944444444,139.77256722222222
都バス２３区,上２３,平井駅前～上野松坂屋前,平井駅前方面,上野松坂屋前方面,中平井,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,35.70698944444444,139.77256722222222
都バス２３区,上２３,平井駅前～上野松坂屋前,平井駅前方面,上野松坂屋前方面,平井七丁目第三アパート前,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,35.70698944444444,139.77256722222222
都バス２３区,上２３,平井駅前～上野松坂屋前,平井駅前方面,上野松坂屋前方面,東墨田一丁目,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,35.70698944444444,139.77256722222222
都バス２３区,上２３,平井駅前～上野松坂屋前,平井駅前方面,上野松坂屋前方面,東墨田三丁目,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,35.70698944444444,139.77256722222222
都バス２３区,上２３,平井駅前～上野松坂屋前,平井駅前方面,上野松坂屋前方面,東墨田会館前,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,35.70698944444444,139.77256722222222
都バス２３区,上２３,平井駅前～上野松坂屋前,平井駅前方面,上野松坂屋前方面,東墨田二丁目,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,35.70698944444444,139.77256722222222
