市区町村名,緯度,緯度,経度,経度,区内バス停ID,会社名称,路線名称,どこからどこまで,行き方面,帰り方面,バス停名称,url,同じバス停
墨田区,35.70883194,35.70883194,139.8121028,139.8121028,25,都バス２３区,上２３,平井駅前～上野松坂屋前,上野松坂屋前方面,平井駅前方面,押上,https://mb.jorudan.co.jp//os/bus/1301/stop/41847.html,
墨田区,35.70867944,35.70867944,139.8090511,139.8090511,26,都バス２３区,上２３,平井駅前～上野松坂屋前,上野松坂屋前方面,平井駅前方面,とうきょうスカイツリー駅入口,https://mb.jorudan.co.jp//os/bus/1301/stop/41072.html,
墨田区,35.70837056,35.70837056,139.8035119,139.8035119,27,都バス２３区,上２３,平井駅前～上野松坂屋前,上野松坂屋前方面,平井駅前方面,本所吾妻橋,https://mb.jorudan.co.jp//os/bus/1301/stop/40782.html,
墨田区,35.71054861,35.71054861,139.8019708,139.8019708,28,都バス２３区,上２３,平井駅前～上野松坂屋前,上野松坂屋前方面,平井駅前方面,墨田区役所前,https://mb.jorudan.co.jp//os/bus/1301/stop/40887.html,
台東区,35.71088056,35.71088056,139.7955317,139.7955317,29,都バス２３区,上２３,平井駅前～上野松坂屋前,上野松坂屋前方面,平井駅前方面,浅草雷門,https://mb.jorudan.co.jp//os/bus/1301/stop/41178.html,
台東区,35.71116278,35.71116278,139.7931972,139.7931972,30,都バス２３区,上２３,平井駅前～上野松坂屋前,上野松坂屋前方面,平井駅前方面,浅草一丁目,https://mb.jorudan.co.jp//os/bus/1301/stop/41894.html,
台東区,35.70967722,35.70967722,139.7905078,139.7905078,31,都バス２３区,上２３,平井駅前～上野松坂屋前,上野松坂屋前方面,平井駅前方面,浅草寿町,https://mb.jorudan.co.jp//os/bus/1301/stop/40621.html,
台東区,35.71028167,35.71028167,139.7874903,139.7874903,32,都バス２３区,上２３,平井駅前～上野松坂屋前,上野松坂屋前方面,平井駅前方面,菊屋橋,https://mb.jorudan.co.jp//os/bus/1301/stop/41642.html,
台東区,35.71106361,35.71106361,139.7845147,139.7845147,33,都バス２３区,上２３,平井駅前～上野松坂屋前,上野松坂屋前方面,平井駅前方面,東上野六丁目,https://mb.jorudan.co.jp//os/bus/1301/stop/40998.html,
台東区,35.71146028,35.71146028,139.7809139,139.7809139,34,都バス２３区,上２３,平井駅前～上野松坂屋前,上野松坂屋前方面,平井駅前方面,下谷神社前,https://mb.jorudan.co.jp//os/bus/1301/stop/41110.html,
