バス停ID,バス会社名称,バス停名称,緯度,経度
125,都営バス,南大塚一丁目(東京都),35.725709,139.735423
126,都営バス,千石三丁目,35.723869,139.737034
127,都営バス,湯立坂下,35.721106,139.740102
128,都営バス,白山三丁目,35.719425,139.741776
129,都営バス,白山二丁目(東京都),35.717174,139.745132
130,都営バス,小石川三丁目,35.715276,139.747925
131,都営バス,小石川二丁目,35.712439,139.75139
132,都営バス,春日駅前〔都営バス〕,35.708621,139.752546
133,都営バス,菊坂下,35.711476,139.754627
134,都営バス,本郷六丁目,35.713236,139.756601
135,都営バス,東大農学部前,35.715504,139.759472
136,都営バス,弥生二丁目(東京都),35.716421,139.762826
137,都営バス,上野公園(東京都),35.709673,139.771601
138,都営バス,小滝橋車庫前,35.710359,139.693351
139,都営バス,小滝橋〔都営バス〕,35.710041,139.694533
140,都営バス,高田馬場四丁目〔都営バス〕,35.711524,139.696555
141,都営バス,高田馬場三丁目,35.712317,139.699392
142,都営バス,高田馬場駅前,35.713793,139.704173
143,都営バス,新宿区社会福祉協議会前,35.71206,139.70758
144,都営バス,高田馬場二丁目,35.711391,139.710815
145,都営バス,西早稲田,35.709631,139.715779
146,都営バス,甘泉園公園前,35.711474,139.716931
147,都営バス,グランド坂下,35.71143,139.720847
148,都営バス,江戸川橋,35.710184,139.730342
149,都営バス,石切橋,35.709176,139.735413
150,都営バス,東五軒町,35.708696,139.738806
151,都営バス,大曲(文京区),35.708033,139.744147
152,都営バス,伝通院前,35.709904,139.7461
153,都営バス,富坂上,35.709152,139.748887
154,都営バス,真砂坂上,35.707464,139.757444
155,都営バス,本郷三丁目駅前,35.707543,139.759685
156,都営バス,湯島四丁目,35.707513,139.764766
157,都営バス,湯島三丁目,35.70846,139.768286
158,都営バス,上野広小路,35.708735,139.77307
159,都営バス,上野公園(東京都),35.709401,139.770912
160,都営バス,両国駅前,35.695244,139.792064
161,都営バス,両国駅入口,35.694417,139.793033
162,都営バス,両国四丁目,35.694542,139.795319
163,都営バス,旧安田庭園前,35.698971,139.794122
164,都営バス,都営両国駅前,35.697364,139.797268
165,都営バス,緑一丁目(東京都),35.69472,139.798593
166,都営バス,緑二丁目,35.694927,139.802116
167,都営バス,緑三丁目(東京都),35.695167,139.806456
168,都営バス,江東橋,35.69551,139.810366
169,都営バス,錦糸町駅前,35.695733,139.814168
170,都営バス,江東車庫前,35.696149,139.817585
171,都営バス,亀戸一丁目,35.696495,139.820844
172,都営バス,亀戸駅前,35.697835,139.825749
173,都営バス,亀戸駅通り,35.695619,139.825991
174,都営バス,五ノ橋,35.692398,139.826234
175,都営バス,西大島駅前,35.689023,139.826517
176,都営バス,大島一丁目(東京都),35.686545,139.826735
177,都営バス,北砂三丁目,35.68183,139.827576
178,都営バス,北砂二丁目,35.679563,139.827606
179,都営バス,境川(東京都),35.677101,139.827911
180,都営バス,北砂四丁目,35.676722,139.831092
181,都営バス,亀高橋,35.676295,139.834501
182,都営バス,東砂四丁目,35.675821,139.838232
183,都営バス,旧葛西橋,35.675479,139.840845
184,都営バス,東砂六丁目北,35.674139,139.842824
185,都営バス,葛西橋,35.672082,139.842452
186,都営バス,東砂六丁目,35.672895,139.840869
187,都営バス,葛西橋東詰,35.670721,139.854157
188,都営バス,宇喜田,35.670186,139.857698
189,都営バス,稲荷神社前(江戸川区),35.669501,139.862155
190,都営バス,第六葛西小学校前,35.667178,139.865616
191,都営バス,スポーツセンター前(江戸川区),35.66734,139.860167
192,都営バス,西葛西駅前,35.664343,139.859217
193,都営バス,第七葛西小学校前,35.658891,139.859139
194,都営バス,新田住宅,35.657376,139.861212
195,都営バス,中葛西七丁目,35.656174,139.863876
196,都営バス,中左近橋,35.652623,139.863599
197,都営バス,中央卸売市場葛西市場前,35.64957,139.862393
198,都営バス,臨海町三丁目,35.648263,139.860642
199,都営バス,臨海車庫前,35.647389,139.85946
200,都営バス,臨海車庫,35.646976,139.858932
201,都営バス,境川(東京都),35.676593,139.827155
202,都営バス,南砂三丁目,35.673019,139.826566
203,都営バス,日曹橋,35.671114,139.826141
204,都営バス,南砂町駅入口,35.667505,139.831492
205,都営バス,新砂三丁目アパート,35.666455,139.833916
206,都営バス,江東高齢者医療センター入口,35.666768,139.833811
207,都営バス,清砂大橋西,35.665824,139.837215
208,都営バス,清新町健康サポートセンター前,35.663132,139.856205
209,都営バス,西葛西駅南,35.661389,139.858529
210,都営バス,東陽町駅前,35.669742,139.81686
211,都営バス,江東運転免許試験場前,35.669937,139.821752
212,都営バス,日曹橋,35.670803,139.825857
213,都営バス,南砂三丁目,35.672986,139.826342
214,都営バス,福島橋(東京都),35.672767,139.829445
215,都営バス,学校通り,35.671857,139.83197
216,都営バス,南砂六丁目,35.671095,139.834164
217,都営バス,元八幡(東京都),35.669859,139.837608
218,都営バス,袖ヶ浦,35.669826,139.841044
219,都営バス,東砂六丁目,35.671484,139.840847
220,都営バス,旧葛西橋,35.674867,139.840473
221,都営バス,東砂四丁目,35.67573,139.837236
222,都営バス,亀高橋,35.676679,139.833791
223,都営バス,北砂七丁目,35.679537,139.834652
224,都営バス,北砂五丁目,35.681911,139.83535
225,都営バス,北砂六丁目,35.683993,139.835944
226,都営バス,大島五丁目(東京都),35.688001,139.836131
227,都営バス,大島駅前,35.690284,139.835511
228,都営バス,城東特別支援学校前,35.692093,139.834909
229,都営バス,竪川大橋北詰,35.695107,139.834047
230,都営バス,亀戸六丁目,35.696833,139.832302
231,都営バス,水神森,35.696567,139.828721
232,都営バス,亀戸駅前,35.697755,139.825306
233,都営バス,西大島駅前,35.688695,139.826538
234,都営バス,小名木川小学校入口,35.683969,139.829721
235,都営バス,北砂五丁目団地,35.684182,139.832765
236,都営バス,北砂六丁目,35.683498,139.836085
237,都営バス,北砂五丁目,35.682028,139.835666
238,都営バス,北砂七丁目,35.67919,139.834821
239,都営バス,亀高橋,35.676774,139.834104
240,都営バス,南砂五丁目団地,35.674467,139.833387
241,都営バス,南砂三丁目みどり団地前,35.671247,139.832365
242,都営バス,南砂町駅前,35.669182,139.831428
243,都営バス,南砂町駅入口,35.667251,139.830618
244,都営バス,東部療育センター前,35.664303,139.833618
245,都営バス,江東高齢者医療センター,35.665309,139.834315
246,都営バス,江東高齢者医療センター入口,35.666263,139.834548
247,都営バス,南砂町駅前,35.669217,139.831191
248,都営バス,南砂三丁目みどり団地前,35.671096,139.832075
249,都営バス,南砂五丁目団地,35.675079,139.833286
250,都営バス,北砂五丁目団地,35.684035,139.832283
251,都営バス,小名木川小学校入口,35.683824,139.829276
252,都営バス,大島一丁目(東京都),35.687391,139.826398
253,都営バス,西大島駅前,35.69008,139.826154
254,都営バス,五ノ橋,35.692517,139.825958
255,都営バス,亀戸駅通り,35.695949,139.825696
256,都営バス,葛西橋,35.672698,139.842438
257,都営バス,東砂五丁目,35.675672,139.842959
258,都営バス,第七砂町小学校前,35.678707,139.84366
259,都営バス,東砂三丁目,35.681976,139.844418
260,都営バス,東砂二丁目,35.683786,139.844805
261,都営バス,第五大島小学校前,35.688561,139.844883
262,都営バス,東大島駅入口,35.689246,139.844677
263,都営バス,大島八丁目,35.690467,139.843521
264,都営バス,大島七丁目,35.690384,139.842371
265,都営バス,中の橋通り,35.690021,139.838407
266,都営バス,大島駅前,35.689561,139.833629
267,都営バス,大島三丁目(東京都),35.68922,139.82917
268,都営バス,今井〔都営バス〕,35.68341,139.887619
269,都営バス,一之江駅前,35.686196,139.88398
270,都営バス,一之江四丁目,35.688008,139.881668
271,都営バス,一之江五丁目,35.689862,139.87924
272,都営バス,西一之江三丁目,35.691883,139.876571
273,都営バス,西一之江四丁目,35.693991,139.873764
274,都営バス,松江(東京都),35.695856,139.871261
275,都営バス,東小松川一丁目,35.698112,139.868248
276,都営バス,京葉交差点,35.701945,139.867854
277,都営バス,小松川警察署前,35.702119,139.863863
278,都営バス,小松川三丁目,35.699267,139.849832
279,都営バス,中川新橋,35.698539,139.847878
280,都営バス,浅間神社(江東区),35.697536,139.844008
281,都営バス,亀戸九丁目,35.697156,139.839319
282,都営バス,亀戸七丁目,35.696964,139.835527
283,都営バス,なぎさニュータウン,35.646968,139.879705
284,都営バス,南葛西小学校前,35.646997,139.874649
285,都営バス,堀江団地,35.647605,139.870536
286,都営バス,堀江団地入口,35.649471,139.869188
287,都営バス,葛西南高校前,35.653979,139.869671
288,都営バス,新田(東京都),35.655913,139.868516
289,都営バス,第四葛西小学校前,35.659601,139.869595
290,都営バス,葛西駅通り,35.660555,139.870094
291,都営バス,中葛西五丁目,35.661132,139.866177
292,都営バス,西葛西六丁目,35.66155,139.863436
293,都営バス,西葛西駅前,35.664409,139.858781
294,都営バス,スポーツセンター前(江戸川区),35.667946,139.860562
295,都営バス,宇喜田,35.66991,139.858057
296,都営バス,葛西橋東詰,35.670498,139.854144
297,都営バス,東砂六丁目,35.672673,139.840728
298,都営バス,旧葛西橋,35.675379,139.839964
299,都営バス,亀高橋,35.676054,139.834648
300,都営バス,北砂四丁目,35.676469,139.831379
301,都営バス,境川(東京都),35.676782,139.828686
302,都営バス,北砂二丁目,35.679026,139.827306
303,都営バス,北砂三丁目,35.681951,139.827322
304,都営バス,大井町駅東口,35.60622,139.735483
305,都営バス,仙台坂,35.607089,139.739526
306,都営バス,青物横丁,35.61029,139.743173
307,都営バス,都立八潮高校前,35.6107,139.747574
308,都営バス,都立産業技術高専品川キャンパス前,35.607485,139.747256
309,都営バス,品川総合福祉センター前,35.605486,139.753184
310,都営バス,明晴学園前,35.603115,139.753224
311,都営バス,八潮北,35.602372,139.752317
312,都営バス,八潮パークタウン,35.599877,139.750767
313,都営バス,大井町駅東口,35.606552,139.735166
314,都営バス,都立八潮高校前,35.611424,139.74681
315,都営バス,東品川ゆうゆうプラザ前,35.613087,139.750099
316,都営バス,東品川橋,35.615748,139.750366
317,都営バス,天王洲公園前,35.619768,139.750696
318,都営バス,天王洲アイル,35.621238,139.750773
319,都営バス,新東海橋,35.621372,139.749476
320,都営バス,昭和橋(品川区),35.618419,139.747318
321,都営バス,東品川三丁目,35.615276,139.747392
322,都営バス,南品川二丁目,35.614622,139.743802
323,都営バス,南馬場,35.613826,139.741543
324,都営バス,南品川五丁目,35.612078,139.741976
325,都営バス,青物横丁,35.608996,139.741697
326,都営バス,仙台坂,35.607377,139.740106
327,都営バス,大井町駅東口,35.606525,139.735566
328,都営バス,大井町駅東口,35.606445,139.735147
329,都営バス,品川清掃工場前,35.611643,139.754168
330,都営バス,2号バース前,35.608385,139.758458
331,都営バス,3号バース前,35.605642,139.759422
332,都営バス,4号バース前,35.603909,139.761052
333,都営バス,5号バース前,35.600723,139.762069
334,都営バス,6号バース前,35.597349,139.76383
335,都営バス,みなとが丘ふ頭公園前,35.595381,139.764652
336,都営バス,東京税関大井出張所前,35.594475,139.765981
337,都営バス,八潮二丁目,35.593965,139.769774
338,都営バス,大井水産物埠頭入口,35.594057,139.77093
339,都営バス,ニチレイ前,35.591535,139.76995
340,都営バス,セントラルビル前,35.591054,139.768989
341,都営バス,鴻池運輸前,35.589116,139.766028
342,都営バス,丸全昭和前,35.58774,139.766059
343,都営バス,ダイトー大井物流センター前,35.585266,139.766124
344,都営バス,大井埠頭バンプール前,35.585879,139.7678
345,都営バス,大井シャシープール前,35.589151,139.771624
346,都営バス,大井水産物埠頭前,35.590881,139.773049
347,都営バス,足立清掃工場前〔都営バス〕,35.804033,139.797014
348,都営バス,水神(足立区),35.806196,139.801589
349,都営バス,北保木間,35.803414,139.801783
350,都営バス,保木間,35.797892,139.80217
351,都営バス,保木間仲通り,35.792727,139.801423
352,都営バス,旧道交差点,35.79274,139.798591
353,都営バス,公園前(足立区),35.792866,139.794834
354,都営バス,竹の塚駅前,35.793561,139.792453
355,都営バス,公園前(足立区),35.793058,139.794747
