バス会社名称,路線名称,バス停名称,緯度,経度,ID,路線ID,停車順番
都営バス,上60[都営バス],東池袋二丁目,35.731577,139.720688,130,6,4
都営バス,上60[都営バス],東池袋三丁目,35.730056,139.723514,131,6,5
都営バス,上60[都営バス],向原(東京都),35.728914,139.725458,132,6,6
都営バス,上60[都営バス],新大塚,35.726211,139.729547,133,6,7
都営バス,上60[都営バス],大塚駅前(東京都),35.730909,139.729096,134,6,8
都営バス,上60[都営バス],巣鴨小学校前,35.727539,139.733466,135,6,9
都営バス,上60[都営バス],南大塚一丁目(東京都),35.725709,139.735423,136,6,10
都営バス,上60[都営バス],千石三丁目,35.723869,139.737034,137,6,11
都営バス,上60[都営バス],湯立坂下,35.721106,139.740102,138,6,12
都営バス,上60[都営バス],白山三丁目,35.719425,139.741776,139,6,13
都営バス,上60[都営バス],白山二丁目(東京都),35.717174,139.745132,140,6,14
都営バス,上60[都営バス],小石川三丁目,35.715276,139.747925,141,6,15
都営バス,上60[都営バス],小石川二丁目,35.712439,139.75139,142,6,16
都営バス,上60[都営バス],春日駅前〔都営バス〕,35.708621,139.752546,143,6,17
都営バス,上60[都営バス],菊坂下,35.711476,139.754627,144,6,18
都営バス,上60[都営バス],本郷六丁目,35.713236,139.756601,145,6,19
都営バス,上60[都営バス],東大農学部前,35.715504,139.759472,146,6,20
都営バス,上60[都営バス],弥生二丁目(東京都),35.716421,139.762826,147,6,21
都営バス,上60[都営バス],根津駅前,35.717628,139.765594,148,6,22
都営バス,上60[都営バス],池之端二丁目,35.715215,139.767539,149,6,23
都営バス,上60[都営バス],池之端一丁目,35.71224,139.768683,150,6,24
都営バス,上60[都営バス],上野広小路,35.707969,139.772295,151,6,25
都営バス,上60[都営バス],上野公園(東京都),35.709673,139.771601,152,6,26
都営バス,上69(小滝橋車庫前-上野公園)[都営バス],小滝橋車庫前,35.710359,139.693351,153,7,1
都営バス,上69(小滝橋車庫前-上野公園)[都営バス],小滝橋〔都営バス〕,35.710041,139.694533,154,7,2
都営バス,上69(小滝橋車庫前-上野公園)[都営バス],高田馬場四丁目〔都営バス〕,35.711524,139.696555,155,7,3
都営バス,上69(小滝橋車庫前-上野公園)[都営バス],高田馬場三丁目,35.712317,139.699392,156,7,4
都営バス,上69(小滝橋車庫前-上野公園)[都営バス],高田馬場駅前,35.713793,139.704173,157,7,5
都営バス,上69(小滝橋車庫前-上野公園)[都営バス],新宿区社会福祉協議会前,35.71206,139.70758,158,7,6
都営バス,上69(小滝橋車庫前-上野公園)[都営バス],高田馬場二丁目,35.711391,139.710815,159,7,7
都営バス,上69(小滝橋車庫前-上野公園)[都営バス],西早稲田,35.709631,139.715779,160,7,8
都営バス,上69(小滝橋車庫前-上野公園)[都営バス],甘泉園公園前,35.711474,139.716931,161,7,9
都営バス,上69(小滝橋車庫前-上野公園)[都営バス],グランド坂下,35.71143,139.720847,162,7,10
都営バス,上69(小滝橋車庫前-上野公園)[都営バス],早稲田(東京都),35.711071,139.722139,163,7,11
都営バス,上69(小滝橋車庫前-上野公園)[都営バス],関口一丁目,35.71055,139.724001,164,7,12
都営バス,上69(小滝橋車庫前-上野公園)[都営バス],鶴巻町,35.709888,139.726772,165,7,13
都営バス,上69(小滝橋車庫前-上野公園)[都営バス],江戸川橋,35.710184,139.730342,166,7,14
都営バス,上69(小滝橋車庫前-上野公園)[都営バス],石切橋,35.709176,139.735413,167,7,15
都営バス,上69(小滝橋車庫前-上野公園)[都営バス],東五軒町,35.708696,139.738806,168,7,16
都営バス,上69(小滝橋車庫前-上野公園)[都営バス],大曲(文京区),35.708033,139.744147,169,7,17
都営バス,上69(小滝橋車庫前-上野公園)[都営バス],伝通院前,35.709904,139.7461,170,7,18
都営バス,上69(小滝橋車庫前-上野公園)[都営バス],富坂上,35.709152,139.748887,171,7,19
都営バス,上69(小滝橋車庫前-上野公園)[都営バス],春日駅前〔都営バス〕,35.708621,139.752546,172,7,20
都営バス,上69(小滝橋車庫前-上野公園)[都営バス],真砂坂上,35.707464,139.757444,173,7,21
都営バス,上69(小滝橋車庫前-上野公園)[都営バス],本郷三丁目駅前,35.707543,139.759685,174,7,22
都営バス,上69(小滝橋車庫前-上野公園)[都営バス],湯島四丁目,35.707513,139.764766,175,7,23
都営バス,上69(小滝橋車庫前-上野公園)[都営バス],湯島三丁目,35.70846,139.768286,176,7,24
都営バス,上69(小滝橋車庫前-上野公園)[都営バス],上野広小路,35.708735,139.77307,177,7,25
都営バス,上69(小滝橋車庫前-上野公園)[都営バス],上野公園(東京都),35.709401,139.770912,178,7,26
都営バス,両28[都営バス],両国駅前,35.695244,139.792064,179,8,1
都営バス,両28[都営バス],両国駅入口,35.694417,139.793033,180,8,2
都営バス,両28[都営バス],両国四丁目,35.694542,139.795319,181,8,3
都営バス,両28[都営バス],旧安田庭園前,35.698971,139.794122,182,8,4
都営バス,両28[都営バス],都営両国駅前,35.697364,139.797268,183,8,5
都営バス,両28[都営バス],緑一丁目(東京都),35.69472,139.798593,184,8,6
都営バス,両28[都営バス],緑二丁目,35.694927,139.802116,185,8,7
都営バス,両28[都営バス],緑三丁目(東京都),35.695167,139.806456,186,8,8
都営バス,両28[都営バス],江東橋,35.69551,139.810366,187,8,9
都営バス,両28[都営バス],錦糸町駅前,35.695733,139.814168,188,8,10
都営バス,両28[都営バス],江東車庫前,35.696149,139.817585,189,8,11
都営バス,両28[都営バス],亀戸一丁目,35.696495,139.820844,190,8,12
都営バス,両28[都営バス],亀戸駅前,35.697835,139.825749,191,8,13
都営バス,両28[都営バス],亀戸駅通り,35.695619,139.825991,192,8,14
都営バス,両28[都営バス],五ノ橋,35.692398,139.826234,193,8,15
都営バス,両28[都営バス],西大島駅前,35.689023,139.826517,194,8,16
都営バス,両28[都営バス],大島一丁目(東京都),35.686545,139.826735,195,8,17
都営バス,両28[都営バス],北砂三丁目,35.68183,139.827576,196,8,18
都営バス,両28[都営バス],北砂二丁目,35.679563,139.827606,197,8,19
都営バス,両28[都営バス],境川(東京都),35.677101,139.827911,198,8,20
都営バス,両28[都営バス],北砂四丁目,35.676722,139.831092,199,8,21
都営バス,両28[都営バス],亀高橋,35.676295,139.834501,200,8,22
都営バス,両28[都営バス],東砂四丁目,35.675821,139.838232,201,8,23
都営バス,両28[都営バス],旧葛西橋,35.675479,139.840845,202,8,24
都営バス,両28[都営バス],東砂六丁目北,35.674139,139.842824,203,8,25
都営バス,両28[都営バス],葛西橋,35.672082,139.842452,204,8,26
都営バス,両28[都営バス],東砂六丁目,35.672895,139.840869,205,8,27
都営バス,両28[都営バス],葛西橋東詰,35.670721,139.854157,206,8,28
都営バス,両28[都営バス],宇喜田,35.670186,139.857698,207,8,29
都営バス,両28[都営バス],稲荷神社前(江戸川区),35.669501,139.862155,208,8,30
都営バス,両28[都営バス],第六葛西小学校前,35.667178,139.865616,209,8,31
都営バス,両28[都営バス],スポーツセンター前(江戸川区),35.66734,139.860167,210,8,32
都営バス,両28[都営バス],西葛西駅前,35.664343,139.859217,211,8,33
都営バス,両28[都営バス],第七葛西小学校前,35.658891,139.859139,212,8,34
都営バス,両28[都営バス],新田住宅,35.657376,139.861212,213,8,35
都営バス,両28[都営バス],中葛西七丁目,35.656174,139.863876,214,8,36
都営バス,両28[都営バス],中左近橋,35.652623,139.863599,215,8,37
都営バス,両28[都営バス],中央卸売市場葛西市場前,35.64957,139.862393,216,8,38
都営バス,両28[都営バス],臨海町三丁目,35.648263,139.860642,217,8,39
都営バス,両28[都営バス],臨海車庫前,35.647389,139.85946,218,8,40
都営バス,両28[都営バス],臨海車庫,35.646976,139.858932,219,8,41
都営バス,両28〔日曹橋経由〕[都営バス],両国駅前,35.695244,139.792064,220,9,1
都営バス,両28〔日曹橋経由〕[都営バス],両国駅入口,35.694417,139.793033,221,9,2
都営バス,両28〔日曹橋経由〕[都営バス],両国四丁目,35.694542,139.795319,222,9,3
都営バス,両28〔日曹橋経由〕[都営バス],旧安田庭園前,35.698971,139.794122,223,9,4
都営バス,両28〔日曹橋経由〕[都営バス],都営両国駅前,35.697364,139.797268,224,9,5
都営バス,両28〔日曹橋経由〕[都営バス],緑一丁目(東京都),35.69472,139.798593,225,9,6
都営バス,両28〔日曹橋経由〕[都営バス],緑二丁目,35.694927,139.802116,226,9,7
都営バス,両28〔日曹橋経由〕[都営バス],緑三丁目(東京都),35.695167,139.806456,227,9,8
都営バス,両28〔日曹橋経由〕[都営バス],江東橋,35.69551,139.810366,228,9,9
都営バス,両28〔日曹橋経由〕[都営バス],錦糸町駅前,35.695733,139.814168,229,9,10
都営バス,両28〔日曹橋経由〕[都営バス],江東車庫前,35.696149,139.817585,230,9,11
都営バス,両28〔日曹橋経由〕[都営バス],亀戸一丁目,35.696495,139.820844,231,9,12
都営バス,両28〔日曹橋経由〕[都営バス],亀戸駅通り,35.695619,139.825991,232,9,13
都営バス,両28〔日曹橋経由〕[都営バス],五ノ橋,35.692398,139.826234,233,9,14
都営バス,両28〔日曹橋経由〕[都営バス],西大島駅前,35.689023,139.826517,234,9,15
都営バス,両28〔日曹橋経由〕[都営バス],大島一丁目(東京都),35.686545,139.826735,235,9,16
都営バス,両28〔日曹橋経由〕[都営バス],北砂三丁目,35.68183,139.827576,236,9,17
都営バス,両28〔日曹橋経由〕[都営バス],北砂二丁目,35.679563,139.827606,237,9,18
都営バス,両28〔日曹橋経由〕[都営バス],境川(東京都),35.676593,139.827155,238,9,19
都営バス,両28〔日曹橋経由〕[都営バス],南砂三丁目,35.673019,139.826566,239,9,20
都営バス,両28〔日曹橋経由〕[都営バス],日曹橋,35.671114,139.826141,240,9,21
都営バス,両28〔日曹橋経由〕[都営バス],南砂町駅入口,35.667505,139.831492,241,9,22
都営バス,両28〔日曹橋経由〕[都営バス],新砂三丁目アパート,35.666455,139.833916,242,9,23
都営バス,両28〔日曹橋経由〕[都営バス],江東高齢者医療センター入口,35.666768,139.833811,243,9,24
都営バス,両28〔日曹橋経由〕[都営バス],清砂大橋西,35.665824,139.837215,244,9,25
都営バス,両28〔日曹橋経由〕[都営バス],清新町健康サポートセンター前,35.663132,139.856205,245,9,26
都営バス,両28〔日曹橋経由〕[都営バス],西葛西駅南,35.661389,139.858529,246,9,27
都営バス,両28〔日曹橋経由〕[都営バス],第七葛西小学校前,35.658891,139.859139,247,9,28
都営バス,両28〔日曹橋経由〕[都営バス],新田住宅,35.657376,139.861212,248,9,29
都営バス,両28〔日曹橋経由〕[都営バス],中葛西七丁目,35.656174,139.863876,249,9,30
都営バス,両28〔日曹橋経由〕[都営バス],中左近橋,35.652623,139.863599,250,9,31
都営バス,両28〔日曹橋経由〕[都営バス],中央卸売市場葛西市場前,35.64957,139.862393,251,9,32
都営バス,両28〔日曹橋経由〕[都営バス],臨海町三丁目,35.648263,139.860642,252,9,33
都営バス,両28〔日曹橋経由〕[都営バス],臨海車庫前,35.647389,139.85946,253,9,34
都営バス,両28〔日曹橋経由〕[都営バス],臨海車庫,35.646976,139.858932,254,9,35
都営バス,亀21[都営バス],東陽町駅前,35.669742,139.81686,255,10,1
都営バス,亀21[都営バス],江東運転免許試験場前,35.669937,139.821752,256,10,2
都営バス,亀21[都営バス],日曹橋,35.670803,139.825857,257,10,3
都営バス,亀21[都営バス],南砂三丁目,35.672986,139.826342,258,10,4
都営バス,亀21[都営バス],福島橋(東京都),35.672767,139.829445,259,10,5
都営バス,亀21[都営バス],学校通り,35.671857,139.83197,260,10,6
都営バス,亀21[都営バス],南砂六丁目,35.671095,139.834164,261,10,7
都営バス,亀21[都営バス],元八幡(東京都),35.669859,139.837608,262,10,8
都営バス,亀21[都営バス],袖ヶ浦,35.669826,139.841044,263,10,9
都営バス,亀21[都営バス],東砂六丁目,35.671484,139.840847,264,10,10
都営バス,亀21[都営バス],旧葛西橋,35.674867,139.840473,265,10,11
都営バス,亀21[都営バス],東砂四丁目,35.67573,139.837236,266,10,12
都営バス,亀21[都営バス],亀高橋,35.676679,139.833791,267,10,13
都営バス,亀21[都営バス],北砂七丁目,35.679537,139.834652,268,10,14
都営バス,亀21[都営バス],北砂五丁目,35.681911,139.83535,269,10,15
都営バス,亀21[都営バス],北砂六丁目,35.683993,139.835944,270,10,16
都営バス,亀21[都営バス],大島五丁目(東京都),35.688001,139.836131,271,10,17
都営バス,亀21[都営バス],大島駅前,35.690284,139.835511,272,10,18
都営バス,亀21[都営バス],城東特別支援学校前,35.692093,139.834909,273,10,19
都営バス,亀21[都営バス],竪川大橋北詰,35.695107,139.834047,274,10,20
都営バス,亀21[都営バス],亀戸六丁目,35.696833,139.832302,275,10,21
都営バス,亀21[都営バス],水神森,35.696567,139.828721,276,10,22
都営バス,亀21[都営バス],亀戸駅前,35.697755,139.825306,277,10,23
都営バス,亀23(亀戸駅前-江東高齢者医療センター)[都営バス],亀戸駅前,35.697835,139.825749,278,11,1
都営バス,亀23(亀戸駅前-江東高齢者医療センター)[都営バス],亀戸駅通り,35.695619,139.825991,279,11,2
都営バス,亀23(亀戸駅前-江東高齢者医療センター)[都営バス],五ノ橋,35.692398,139.826234,280,11,3
都営バス,亀23(亀戸駅前-江東高齢者医療センター)[都営バス],西大島駅前,35.688695,139.826538,281,11,4
都営バス,亀23(亀戸駅前-江東高齢者医療センター)[都営バス],大島一丁目(東京都),35.686545,139.826735,282,11,5
都営バス,亀23(亀戸駅前-江東高齢者医療センター)[都営バス],小名木川小学校入口,35.683969,139.829721,283,11,6
都営バス,亀23(亀戸駅前-江東高齢者医療センター)[都営バス],北砂五丁目団地,35.684182,139.832765,284,11,7
都営バス,亀23(亀戸駅前-江東高齢者医療センター)[都営バス],北砂六丁目,35.683498,139.836085,285,11,8
都営バス,亀23(亀戸駅前-江東高齢者医療センター)[都営バス],北砂五丁目,35.682028,139.835666,286,11,9
都営バス,亀23(亀戸駅前-江東高齢者医療センター)[都営バス],北砂七丁目,35.67919,139.834821,287,11,10
都営バス,亀23(亀戸駅前-江東高齢者医療センター)[都営バス],亀高橋,35.676774,139.834104,288,11,11
都営バス,亀23(亀戸駅前-江東高齢者医療センター)[都営バス],南砂五丁目団地,35.674467,139.833387,289,11,12
都営バス,亀23(亀戸駅前-江東高齢者医療センター)[都営バス],南砂三丁目みどり団地前,35.671247,139.832365,290,11,13
都営バス,亀23(亀戸駅前-江東高齢者医療センター)[都営バス],南砂町駅前,35.669182,139.831428,291,11,14
都営バス,亀23(亀戸駅前-江東高齢者医療センター)[都営バス],南砂町駅入口,35.667251,139.830618,292,11,15
都営バス,亀23(亀戸駅前-江東高齢者医療センター)[都営バス],東部療育センター前,35.664303,139.833618,293,11,16
都営バス,亀23(亀戸駅前-江東高齢者医療センター)[都営バス],江東高齢者医療センター,35.665309,139.834315,294,11,17
都営バス,亀23(江東高齢者医療センター-亀戸駅前)[都営バス],江東高齢者医療センター,35.665309,139.834315,295,12,1
都営バス,亀23(江東高齢者医療センター-亀戸駅前)[都営バス],江東高齢者医療センター入口,35.666263,139.834548,296,12,2
都営バス,亀23(江東高齢者医療センター-亀戸駅前)[都営バス],新砂三丁目アパート,35.666455,139.833916,297,12,3
都営バス,亀23(江東高齢者医療センター-亀戸駅前)[都営バス],南砂町駅前,35.669217,139.831191,298,12,4
都営バス,亀23(江東高齢者医療センター-亀戸駅前)[都営バス],南砂三丁目みどり団地前,35.671096,139.832075,299,12,5
都営バス,亀23(江東高齢者医療センター-亀戸駅前)[都営バス],南砂五丁目団地,35.675079,139.833286,300,12,6
都営バス,亀23(江東高齢者医療センター-亀戸駅前)[都営バス],亀高橋,35.676679,139.833791,301,12,7
都営バス,亀23(江東高齢者医療センター-亀戸駅前)[都営バス],北砂七丁目,35.679537,139.834652,302,12,8
都営バス,亀23(江東高齢者医療センター-亀戸駅前)[都営バス],北砂五丁目,35.681911,139.83535,303,12,9
都営バス,亀23(江東高齢者医療センター-亀戸駅前)[都営バス],北砂六丁目,35.683993,139.835944,304,12,10
都営バス,亀23(江東高齢者医療センター-亀戸駅前)[都営バス],北砂五丁目団地,35.684035,139.832283,305,12,11
都営バス,亀23(江東高齢者医療センター-亀戸駅前)[都営バス],小名木川小学校入口,35.683824,139.829276,306,12,12
都営バス,亀23(江東高齢者医療センター-亀戸駅前)[都営バス],大島一丁目(東京都),35.687391,139.826398,307,12,13
都営バス,亀23(江東高齢者医療センター-亀戸駅前)[都営バス],西大島駅前,35.69008,139.826154,308,12,14
